,County of residence,Population,At least one dose,At least one dose percent,Fully vaccinated,Fully vaccinated percent,Additional Dose 1 Received Count,Additional Dose 1 Received Percent,Date
0,Fairfield,943332.0,584551,61.97,514120,54.5,,,06/16/2021
1,Hartford,891720.0,534159,59.9,477115,53.51,,,06/16/2021
2,Litchfield,180333.0,111840,62.02,101274,56.16,,,06/16/2021
3,Middlesex,162436.0,110422,67.98,100650,61.96,,,06/16/2021
4,New Haven,854757.0,499966,58.49,449590,52.6,,,06/16/2021
5,New London,265206.0,152257,57.41,139141,52.47,,,06/16/2021
6,Tolland,150721.0,84491,56.06,77306,51.29,,,06/16/2021
7,Windham,116782.0,57125,48.92,51769,44.33,,,06/16/2021
8,Resident out of state,,64593,,52021,,,,06/16/2021
9,Address pending validation,,16870,,15216,,,,06/16/2021
10,Fairfield,943332.0,590938,62.64,524738,55.63,,,06/23/2021
11,Hartford,891720.0,539882,60.54,486870,54.6,,,06/23/2021
12,Litchfield,180333.0,112760,62.53,102859,57.04,,,06/23/2021
13,Middlesex,162436.0,111191,68.45,101949,62.76,,,06/23/2021
14,New Haven,854757.0,505085,59.09,458021,53.58,,,06/23/2021
15,New London,265206.0,153591,57.91,141499,53.35,,,06/23/2021
16,Tolland,150721.0,85111,56.47,78609,52.16,,,06/23/2021
17,Windham,116782.0,57627,49.35,52753,45.17,,,06/23/2021
18,Resident out of state,,65696,,53160,,,,06/23/2021
19,Address pending validation,,16864,,15343,,,,06/23/2021
20,Fairfield,943332.0,596623,63.25,538391,57.07,,,06/30/2021
21,Hartford,891720.0,544977,61.12,499646,56.03,,,06/30/2021
22,Litchfield,180333.0,113627,63.01,105443,58.47,,,06/30/2021
23,Middlesex,162436.0,112154,69.05,104235,64.17,,,06/30/2021
24,New Haven,854757.0,510175,59.69,469406,54.92,,,06/30/2021
25,New London,265206.0,154933,58.42,144802,54.6,,,06/30/2021
26,Tolland,150721.0,85659,56.83,80215,53.22,,,06/30/2021
27,Windham,116782.0,58227,49.86,54237,46.44,,,06/30/2021
28,Resident out of state,,66592,,54462,,,,06/30/2021
29,Address pending validation,,16864,,15430,,,,06/30/2021
30,Fairfield,943332.0,600733,63.68,544005,57.67,,,07/07/2021
31,Hartford,891720.0,548568,61.52,504388,56.56,,,07/07/2021
32,Litchfield,180333.0,114160,63.31,106142,58.86,,,07/07/2021
33,Middlesex,162436.0,112713,69.39,104945,64.61,,,07/07/2021
34,New Haven,854757.0,513933,60.13,474400,55.5,,,07/07/2021
35,New London,265206.0,155961,58.81,145929,55.02,,,07/07/2021
36,Tolland,150721.0,86166,57.17,80787,53.6,,,07/07/2021
37,Windham,116782.0,58633,50.21,54722,46.86,,,07/07/2021
38,Resident out of state,,67384,,55082,,,,07/07/2021
39,Address pending validation,,16804,,15424,,,,07/07/2021
40,Fairfield,943332.0,606144,64.26,549813,58.28,,,07/14/2021
41,Hartford,891720.0,552394,61.95,508793,57.06,,,07/14/2021
42,Litchfield,180333.0,114884,63.71,106928,59.29,,,07/14/2021
43,Middlesex,162436.0,113216,69.7,105494,64.94,,,07/14/2021
44,New Haven,854757.0,518196,60.62,478771,56.01,,,07/14/2021
45,New London,265206.0,156966,59.19,146983,55.42,,,07/14/2021
46,Tolland,150721.0,86608,57.46,81305,53.94,,,07/14/2021
47,Windham,116782.0,59082,50.59,55129,47.21,,,07/14/2021
48,Resident out of state,,68339,,55792,,,,07/14/2021
49,Address pending validation,,16726,,15383,,,,07/14/2021
50,Fairfield,943332.0,610723,64.74,556328,58.97,,,07/21/2021
51,Hartford,891720.0,556181,62.37,513970,57.64,,,07/21/2021
52,Litchfield,180333.0,115533,64.07,107766,59.76,,,07/21/2021
53,Middlesex,162436.0,113665,69.98,106200,65.38,,,07/21/2021
54,New Haven,854757.0,522604,61.14,483828,56.6,,,07/21/2021
55,New London,265206.0,157920,59.55,148283,55.91,,,07/21/2021
56,Tolland,150721.0,87071,57.77,81972,54.39,,,07/21/2021
57,Windham,116782.0,59578,51.02,55748,47.74,,,07/21/2021
58,Resident out of state,,69282,,56648,,,,07/21/2021
59,Address pending validation,,16582,,15297,,,,07/21/2021
60,Fairfield,943332.0,617796,65.49,568063,60.22,,,07/28/2021
61,Hartford,891720.0,562355,63.06,524174,58.78,,,07/28/2021
62,Litchfield,180333.0,116607,64.66,109478,60.71,,,07/28/2021
63,Fairfield,943332.0,102830,10.9,41440,4.39,,,02/16/2021
64,Hartford,891720.0,109336,12.26,56622,6.35,,,02/16/2021
65,Litchfield,180333.0,24199,13.42,10692,5.93,,,02/16/2021
66,Middlesex,162436.0,27369,16.85,12314,7.58,,,02/16/2021
67,New Haven,854757.0,117346,13.73,57232,6.7,,,02/16/2021
68,New London,265206.0,34052,12.84,15405,5.81,,,02/16/2021
69,Tolland,150721.0,15970,10.6,7431,4.93,,,02/16/2021
70,Windham,116782.0,12053,10.32,5014,4.29,,,02/16/2021
71,Residence out of state,,10842,,5031,,,,02/16/2021
72,Address pending validation,,8620,,2920,,,,02/16/2021
73,Total,3565287.0,462617,12.98,214101,6.01,,,02/16/2021
74,Fairfield,943332.0,123598,13.1,57117,6.05,,,02/23/2021
75,Hartford,891720.0,129810,14.56,73885,8.29,,,02/23/2021
76,Litchfield,180333.0,28775,15.96,14742,8.17,,,02/23/2021
77,Middlesex,162436.0,32069,19.74,15925,9.8,,,02/23/2021
78,New Haven,854757.0,134019,15.68,74075,8.67,,,02/23/2021
79,New London,265206.0,43359,16.35,21431,8.08,,,02/23/2021
80,Tolland,150721.0,20445,13.56,10147,6.73,,,02/23/2021
81,Windham,116782.0,15577,13.34,7027,6.02,,,02/23/2021
82,Residence out of state,,17248,,10388,,,,02/23/2021
83,Address pending validation,,8819,,2864,,,,02/23/2021
84,Total,3565287.0,553719,15.53,287601,8.07,,,02/23/2021
85,Fairfield,943332.0,142288,15.08,72274,7.66,,,03/01/2021
86,Hartford,891720.0,150641,16.89,85057,9.54,,,03/01/2021
87,Litchfield,180333.0,33855,18.77,17586,9.75,,,03/01/2021
88,Middlesex,162436.0,36328,22.36,19088,11.75,,,03/01/2021
89,New Haven,854757.0,152740,17.87,85880,10.05,,,03/01/2021
90,New London,265206.0,49633,18.71,26048,9.82,,,03/01/2021
91,Tolland,150721.0,24088,15.98,12054,8.0,,,03/01/2021
92,Windham,116782.0,18226,15.61,8917,7.64,,,03/01/2021
93,Residence out of state,,18496,,12639,,,,03/01/2021
94,Address pending validation,,12073,,5456,,,,03/01/2021
95,Total,3565287.0,638368,17.91,344999,9.68,,,03/01/2021
96,Fairfield,943332.0,179399,19.02,88671,9.4,,,03/08/2021
97,Hartford,891720.0,187553,21.03,99556,11.16,,,03/08/2021
98,Litchfield,180333.0,41685,23.12,20714,11.49,,,03/08/2021
99,Middlesex,162436.0,45190,27.82,23899,14.71,,,03/08/2021
100,New Haven,854757.0,187213,21.9,101640,11.89,,,03/08/2021
101,New London,265206.0,61321,23.12,32239,12.16,,,03/08/2021
102,Tolland,150721.0,31193,20.7,14941,9.91,,,03/08/2021
103,Windham,116782.0,22759,19.49,10854,9.29,,,03/08/2021
104,Residence out of state,,21224,,14073,,,,03/08/2021
105,Address pending validation,,12755,,6570,,,,03/08/2021
106,Total,3565287.0,790292,22.17,413157,11.59,,,03/08/2021
107,Fairfield,943332.0,212574,22.53,111486,11.82,,,03/15/2021
108,Hartford,891720.0,223891,25.11,120167,13.48,,,03/15/2021
109,Litchfield,180333.0,49754,27.59,25665,14.23,,,03/15/2021
