,Order Date,Clinic Name,Clinic Address,Clinic Suite,Clinic additional Address,Clinic City,Clinic State,Clinic Zip,County Name,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered,Total Covid Volume Ordered,Georeferenced Latitude & Longitude
16,8/13/2021,Wellspan Good Samaritan Hospital,252 S 4th Street,,,Lebanon,Pennsylvania,17042,Lebanon,0,140,0,140,POINT (-76.41735 40.336018)
17,8/12/2021,KeystoneCare Health LLC,8765 Stenton Ave.,,,Wyndmoor,Pennsylvania,19038,Montgomery,0,140,0,140,POINT (-75.205312 40.082381)
18,8/11/2021,MacDonalds Pharmacy,214 Peach Orchard Road,,,Mc Connellsburg,Pennsylvania,17233,Fulton,0,140,0,140,POINT (-78.009 39.936716)
19,8/10/2021,MARTINS PHARMACY-6012,2032 E PLEASANT VLY BLVD,,,ALTOONA,PA,16602,Blair,0,280,0,280,POINT (-78.339635 40.562816)
20,8/13/2021,Fulton County Medical Center,Fulton County Medical Center,,214 Peach Orchard Road,MC CONNELLSBURG,PA,172338559,Fulton,0,140,0,140,
21,8/13/2021,Bensalem Pharmacy,2112 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,280,0,280,POINT (-74.947868 40.099555)
22,8/11/2021,Centro De Salud Latino Americano,17th & Chew St,403,,Allentown,Pennsylvania,18104,Lehigh,0,560,0,560,
23,8/12/2021,Caring Comm Hlth Ctr-Wilkes Barre,175 South Wilkes Barre Blvd,,,Wilkes Barre,Pennsylvania,18702,Luzerne,0,140,0,140,POINT (-75.883518 41.239254)
24,9/17/2021,Meadville Medical Center,751 Liberty Street,,,Meadville,Pennsylvania,16335,Crawford,1170,0,0,1170,POINT (-80.146336 41.641788)
25,8/12/2021,LCH Health and Community Services,731 West Cypress Street,,,Kennett Square,Pennsylvania,19348,Chester,0,140,0,140,POINT (-75.722913 39.844136)
26,8/13/2021,MDS RX,246 Friendship Cir,,,Beaver,Pennsylvania,15009,Beaver,0,140,0,140,POINT (-80.32784 40.705697)
27,8/9/2021,Altoona Arth and Osteop Cntr,175 Meadowbrook Lane,,,Duncansville,Pennsylvania,16635,Blair,0,280,0,280,POINT (-78.417164 40.435193)
28,8/2/2021,Pittsburgh Mercy Fam Hth Ctr,249 South 9th Street,,Bldg 4 1st Floor,Pittsburgh,Pennsylvania,15203,Allegheny,0,140,0,140,POINT (-79.989908 40.430888)
29,8/12/2021,The Medicine Shoppe 0838,20 Bailey Avenue,100,,Pittsburgh,Pennsylvania,15211,Allegheny,0,980,0,980,POINT (-80.004584 40.42699)
30,8/9/2021,Tri Cty Hth and Wellness Ctr,507 Kimberton Rd,,,Phoenixville,Pennsylvania,19460,Chester,0,140,0,140,POINT (-75.547056 40.129625)
31,8/11/2021,PHN-Shenandoah Health Center,624 West Centre Street,,,Shenandoah,Pennsylvania,17976,Schuylkill,0,140,0,140,POINT (-76.208553 40.819365)
32,8/11/2021,LGH-Lancaster General Hospital,555 North Duke Street,,,Lancaster,Pennsylvania,17603,Lancaster,0,840,0,840,POINT (-76.305328 40.046975)
33,8/9/2021,FPC Loysville Fam Prac Cntr,1100 Montour Road,,,Loysville,Pennsylvania,17047,Perry,0,140,0,140,POINT (-77.339392 40.364176)
34,8/11/2021,MedsPack LLC,5006 E Trindle Road,Ste 103,,Mechanicsburg,Pennsylvania,17050,Cumberland,0,140,0,140,POINT (-76.970687 40.225635)
35,8/8/2021,Quik Stop Pharm of Barley Statn Inc,3506 E Lincoln Highway,,,Thorndale,Pennsylvania,19372,Chester,0,140,0,140,POINT (-75.752443 39.99494)
36,8/13/2021,Infectious Diseases Associates PC,729 Grove Ave,4,,Southampton,Pennsylvania,18966,Bucks,0,420,0,420,POINT (-75.045071 40.175966)
37,8/11/2021,Family Health Associates Bonneview,810 Bonneview Road,,,York,Pennsylvania,17406,York,0,140,0,140,POINT (-76.706919 39.9842)
38,8/12/2021,Tower Health-Reading Hospital,420 S 5th Avenue,,,Reading,Pennsylvania,19611,Berks,2250,140,0,2390,POINT (-75.950171 40.330642)
39,8/11/2021,Family Health Associates-Apple Hill,25 Monument Rd,210,,York,Pennsylvania,17403,York,0,140,0,140,POINT (-76.716233 39.923562)
40,8/10/2021,R-Health Hatfield,2700 Clemens Rd,,Family Wellness Center 2nd Fl,Hatfield,Pennsylvania,19440,Montgomery,0,140,0,140,POINT (-75.316924 40.268935)
41,8/13/2021,Astorino Family Pharmacy,1015 Buffalo street,,,Franklin,Pennsylvania,16323,Venango,0,140,0,140,POINT (-79.827078 41.393508)
42,8/12/2021,FPC-Herndon Family Practice Center,1244 State Route 225,,,Herndon,Pennsylvania,17830,Northumberland,0,140,0,140,POINT (-76.830521 40.666074)
43,8/12/2021,Community Health Care RHC,550 West Walnut Street,,,Shamokin,Pennsylvania,17872,Northumberland,0,140,0,140,POINT (-76.5625 40.78981)
44,8/10/2021,Centerville Clinics-Uniontown,86 McClellandtown Rd,,,Uniontown,Pennsylvania,15401,Fayette,0,140,0,140,POINT (-79.735949 39.902346)
45,8/10/2021,EAST NORRITON PHARMACY,215 W GERMANTOWN PIKE,,,East Norriton,Pennsylvania,19401,Montgomery,0,140,0,140,POINT (-75.323482 40.146344)
46,8/10/2021,Vybe Bensalem,3626 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,140,0,140,POINT (-74.963381 40.126209)
47,8/9/2021,SCI-Phoenix,1200 Mokychic Drive,,,Collegeville,PA,19426,Montgomery,0,140,0,140,
48,8/9/2021,Adagio Health-Seneca,3292 State Route 257,,,Seneca,Pennsylvania,16346,Venango,0,140,0,140,POINT (-79.703532 41.381847)
49,8/16/2021,Con Hth LLC dba Con Hth,12620 Perry Highway,,First Floor,Wexford,Pennsylvania,15090,Allegheny,0,280,0,280,POINT (-80.063756 40.638402)
50,8/12/2021,VDI-Mill Hall Pharmacy Inc,260 Main Street,,,Mill Hall,Pennsylvania,17751,Clinton,0,140,0,140,POINT (-77.484734 41.103677)
51,8/11/2021,Wellspan York Hospital,1001 S .George,Pharmacy,,York,Pennsylvania,17405,York,2250,0,0,2250,POINT (-76.720535 39.946668)
52,8/13/2021,LGH-Lancaster General Hospital,555 North Duke Street,,,Lancaster,Pennsylvania,17603,Lancaster,4050,1120,0,5170,POINT (-76.305328 40.046975)
53,8/9/2021,VDI-Duncansville Pharmacy Inc,1328 Third Ave,,PO Box 126,Duncansville,Pennsylvania,16635,Blair,0,140,0,140,POINT (-78.434729 40.423021)
54,3/9/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,400,0,400,POINT (-79.96965 40.428767)
55,5/14/2021,Care ATC-Burle Business Park,1042 New Holland Ave,,,Lancaster,Pennsylvania,17601,Lancaster,0,100,0,100,POINT (-76.283654 40.055928)
56,3/12/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,100,0,100,POINT (-79.926429 40.471273)
57,2/22/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
58,12/22/2020,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
59,3/26/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,5000,0,7340,POINT (-75.584731 39.957921)
60,1/8/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,3000,0,3000,POINT (-75.584731 39.957921)
61,2/1/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,100,0,100,POINT (-76.494931 41.423636)
62,12/28/2020,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2000,0,2000,POINT (-75.584731 39.957921)
63,2/8/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,100,0,100,POINT (-79.926429 40.471273)
64,1/29/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,3200,0,3200,POINT (-75.584731 39.957921)
65,4/30/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,4680,0,0,4680,POINT (-75.584731 39.957921)
66,3/23/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,2000,0,4340,POINT (-75.584731 39.957921)
67,4/13/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,5000,0,7340,POINT (-75.584731 39.957921)
68,6/24/2021,PHN Shamokin Comm Hlth Ctr,531 North Franklin Street,,,Shamokin,Pennsylvania,17872,Northumberland,0,100,0,100,POINT (-76.550305 40.791462)
69,12/30/2020,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2000,0,2000,POINT (-75.584731 39.957921)
70,4/16/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,2000,0,2000,POINT (-79.96965 40.428767)
71,4/6/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,100,0,100,POINT (-79.926429 40.471273)
72,2/21/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,0,0,2340,POINT (-75.584731 39.957921)
73,3/2/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,400,0,400,POINT (-79.96965 40.428767)
74,4/27/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,5000,0,5000,POINT (-75.584731 39.957921)
75,1/25/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
76,3/30/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,100,0,100,POINT (-76.494931 41.423636)
77,4/13/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,200,0,200,POINT (-79.926429 40.471273)
78,5/4/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,0,0,2340,POINT (-75.584731 39.957921)
79,3/19/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,1000,0,1000,POINT (-79.96965 40.428767)
80,6/4/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,0,0,2340,POINT (-75.584731 39.957921)
81,4/30/2021,VaxCare-Bucks Family Medicine,2346 Trenton Road,Suite C,,Levittown,Pennsylvania,19056,Bucks,0,1000,0,1000,POINT (-74.883012 40.163569)
82,6/22/2021,Boswell Pharmacy Services,131 Schoolhouse Rd.,,PO Box 266,Jennerstown,Pennsylvania,15547,Somerset,0,500,0,500,POINT (-79.06147 40.160412)
83,3/9/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,4800,0,4800,POINT (-75.584731 39.957921)
84,1/13/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
85,4/30/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,5000,0,5000,POINT (-75.584731 39.957921)
86,6/23/2021,Lancaster Pediatric Associates,2106 Harrisburg Pike,1,,Lancaster,Pennsylvania,17601,Lancaster,0,100,0,100,POINT (-76.35333 40.066978)
87,4/2/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,5000,0,5000,POINT (-75.584731 39.957921)
88,6/22/2021,Gettysburg Family Practice,524 S Washington Street,,,Gettysburg,PA,17325,Adams,0,100,0,100,POINT (-77.233227 39.824074)
89,6/22/2021,FPC Hughesville Fam Prac Ctr,246 South Main Street,,,Hughesville,Pennsylvania,17737,Lycoming,0,100,0,100,POINT (-76.728142 41.237344)
90,6/25/2021,Martin Drugs Incorporated,627 S. Chester Road,,,Swarthmore,Pennsylvania,19081,Delaware,0,100,0,100,POINT (-75.353599 39.890698)
91,1/11/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,400,0,400,POINT (-79.96965 40.428767)
92,2/26/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
93,4/27/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
94,2/26/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2000,0,2000,POINT (-75.584731 39.957921)
95,5/14/2021,Grane Supply Inc Pittsburgh,105 Gamma Drive Ste 100,,,Pittsburgh,Pennsylvania,15238,Allegheny,0,400,0,400,POINT (-79.872431 40.495383)
96,1/15/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,1000,0,1000,POINT (-79.96965 40.428767)
97,6/24/2021,Norristown State Hospital,1001 Sterigere St,Bldg 48,,Norristown,Pennsylvania,19401,Montgomery,0,100,0,100,POINT (-75.348612 40.129411)
98,6/21/2021,Whitemarsh Pharmacy,553 Germantown Pike,,,Lafayette Hill,Pennsylvania,19444,Montgomery,0,100,0,100,POINT (-75.251552 40.086114)
99,3/9/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
100,5/27/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,3510,0,0,3510,POINT (-75.584731 39.957921)
101,6/22/2021,DVCH Norristwn Regi Hlth Cntr,1401 DeKalb St,,,Norristown,Pennsylvania,19401,Montgomery,0,200,0,200,POINT (-75.333335 40.123435)
102,3/19/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,200,0,200,POINT (-78.043901 40.492678)
103,3/16/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
104,6/22/2021,LCH Health and Community Services,731 West Cypress Street,,,Kennett Square,Pennsylvania,19348,Chester,0,200,0,200,POINT (-75.722913 39.844136)
105,6/26/2021,Sellersville Pharmacy,218 south main st,,,Sellersville,Pennsylvania,18960,Bucks,0,100,0,100,POINT (-75.305971 40.354553)
106,1/29/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,200,0,200,POINT (-78.043901 40.492678)
107,12/19/2020,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2000,0,2000,POINT (-75.584731 39.957921)
108,3/30/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,3510,2000,0,5510,POINT (-75.584731 39.957921)
109,2/16/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,200,0,200,POINT (-78.043901 40.492678)
110,2/12/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,600,0,600,POINT (-79.96965 40.428767)
111,5/4/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,600,0,600,POINT (-79.96965 40.428767)
112,3/9/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,200,0,200,POINT (-79.926429 40.471273)
113,4/9/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,5000,5700,13040,POINT (-75.584731 39.957921)
114,6/21/2021,Erie County Prison,1618 Ash Street,,,Erie,Pennsylvania,16503,Erie,0,100,0,100,POINT (-80.065336 42.124186)
115,3/16/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,2000,0,4340,POINT (-75.584731 39.957921)
116,6/22/2021,Centerville Clinics-Fredericktown,1070 Old National Pike Rd,,,Fredericktown,Pennsylvania,15333,Washington,0,100,0,100,POINT (-79.985087 40.047222)
117,4/23/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
118,4/16/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,100,0,100,POINT (-76.494931 41.423636)
119,6/22/2021,TBM Health Services LLC,225 Wilmington West Chester Pk,,,Chadds Ford,Pennsylvania,19317,Delaware,1170,0,0,1170,POINT (-75.538994 39.85126)
120,6/26/2021,VDI-Ferri Pharmacy,3907 Old William Penn Hwy,,,Murrysville,Pennsylvania,15668,Westmoreland,0,100,0,100,POINT (-79.697239 40.428342)
121,6/24/2021,Vybe Bensalem,3626 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,0,200,0,200,POINT (-74.963381 40.126209)
122,6/25/2021,Stauffers of Kissel Hill Pharmacy,301 Rohrerstown Rd,,,Lancaster,Pennsylvania,17603,Lancaster,0,100,0,100,POINT (-76.362954 40.046823)
123,6/23/2021,Hamilton Health Center,110 South 17th Street,,,Harrisburg,Pennsylvania,17104,Dauphin,0,100,0,100,POINT (-76.863982 40.265624)
124,4/27/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,1200,0,1200,POINT (-79.96965 40.428767)
125,12/29/2020,AHN FORBES HOSPITAL,PHARMACY,,2570 HAYMAKER ROAD,MONROEVILLE,PENNSYLVANIA,15146,Allegheny,975,0,0,975,
126,5/14/2021,Alere Family Health LLC,334 Hartman Road,,,Ronks,Pennsylvania,17572,Lancaster,0,100,0,100,
127,4/23/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,4680,3000,0,7680,POINT (-75.584731 39.957921)
128,6/26/2021,SCI-Smithfield,1120 Pike Street,,P.O. Box 999,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.025804 40.488989)
129,1/22/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,100,0,100,POINT (-78.043901 40.492678)
130,2/8/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,3200,0,3200,POINT (-75.584731 39.957921)
131,6/24/2021,Saltsburg Pharmacy,237 WASHINGTON ST,,,Saltsburg,Pennsylvania,15681,Indiana,0,100,0,100,POINT (-79.451388 40.486376)
132,4/2/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,1000,0,1000,POINT (-79.96965 40.428767)
133,3/5/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,2000,0,4340,POINT (-75.584731 39.957921)
134,2/23/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,100,0,100,POINT (-76.494931 41.423636)
135,3/5/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
136,1/25/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,4000,0,4000,POINT (-75.584731 39.957921)
137,3/12/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,2000,0,2000,POINT (-79.96965 40.428767)
138,1/13/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,200,0,200,POINT (-78.043901 40.492678)
139,6/21/2021,Lackawanna County Prison Medical,1371 N. Washington Ave.,,,Scranton,Pennsylvania,18509,Lackawanna,0,100,0,100,POINT (-75.647634 41.42244)
140,2/8/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2500,0,2500,POINT (-75.584731 39.957921)
141,4/2/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,0,21000,21000,POINT (-75.584731 39.957921)
142,4/6/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,1300,0,1300,POINT (-79.96965 40.428767)
143,2/22/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,600,0,600,POINT (-76.494931 41.423636)
144,3/23/2021,Integrated Health 21,2403 SIDNEY STREET SUITE 800,,,Pittsburgh,Pennsylvania,15203,Allegheny,0,200,0,200,POINT (-79.96965 40.428767)
145,2/1/2021,East End Family Health Center,745 N Negley Ave,,,Pittsburgh,Pennsylvania,15206,Allegheny,0,100,0,100,POINT (-79.926429 40.471273)
146,1/22/2021,Family Practice Center-Laporte,217 King Street,100,PO Box  95,Laporte,Pennsylvania,18626,Sullivan,0,500,0,500,POINT (-76.494931 41.423636)
147,6/21/2021,PHN-Titusville Community Health,120 South Martin St,,,Titusville,Pennsylvania,16354,Crawford,0,100,0,100,POINT (-79.671599 41.625877)
148,2/23/2021,BTAMC Pedia and Fam Hlth Cre Cntr,6678 Towne Center Blvd,,,Huntingdon,Pennsylvania,16652,Huntingdon,0,200,0,200,POINT (-78.043901 40.492678)
149,4/27/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,0,0,2340,POINT (-75.584731 39.957921)
150,5/7/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,7020,1000,0,8020,POINT (-75.584731 39.957921)
151,5/14/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,4680,0,0,4680,POINT (-75.584731 39.957921)
152,6/21/2021,VIP Pharmacy,7737 New Falls Rd,,,Levittown,Pennsylvania,19055,Bucks,0,100,0,100,POINT (-74.847816 40.160519)
153,2/23/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,1200,0,1200,POINT (-75.584731 39.957921)
154,1/14/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,2500,0,2500,POINT (-75.584731 39.957921)
155,6/21/2021,FPC Mifflinburg Fam Prac Cntr,137 Forest Hill Rd,,,Mifflinburg,Pennsylvania,17844,Union,0,140,0,140,POINT (-77.039345 40.924713)
156,4/16/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,2340,0,0,2340,POINT (-75.584731 39.957921)
157,4/16/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,5000,0,5000,POINT (-75.584731 39.957921)
158,6/24/2021,Masland Associates,220 Wilson Street,109,,Carlisle,Pennsylvania,17013,Cumberland,0,100,0,100,POINT (-77.202874 40.198526)
159,5/4/2021,VaxCare-Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,Pennsylvania,19382,Chester,0,5000,0,5000,POINT (-75.584731 39.957921)
