,Clinic_Name,Clinic_Street_Address,Clinic_City,Clinic_State,Clinic_Zip,County,Broken_Vial_Syringe,Vaccine_Drawn_But_Not_Administer,Lost_Or_Unaccounted_For_Vaccine,Open_Vial_But_Not_Administered,Other,Spoilage,Georeferenced Latitude & Longitude
29,Lepri Ruane Inc DBA The Md Shopp 0874,2239 Pittston Ave.,Scranton,Pennsylvania,18505,Lackawanna,0,0,0,0,94,0,POINT (-75.681293 41.384806)
30,AHN St Vincent Fam Medic Ctr,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,0,2,0,POINT (-80.0814 42.111191)
31,Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",Johnstown,Pennsylvania,15901,Cambria,0,0,0,0,464,0,POINT (-78.920587 40.327188)
32,VHP Center For Womens Medicine,1627 Chew Street  # 1 Lehigh Valley Hospital,Allentown,Pennsylvania,18105,Lehigh,0,0,0,2,13,40,
33,Cornerstone Coordinated Health Care LLC,40 West Frack Street,Frackville,Pennsylvania,17931,Schuylkill,0,0,0,0,7,0,POINT (-76.232047 40.784801)
34,My Health Center at Lowes Pittston,200 Center Point Blvd My Health Center,Pittston,Pennsylvania,18640,Luzerne,0,0,0,2,1,0,
35,The Medicine Shoppe,100 Hazle Street,Wilkes Barre,Pennsylvania,18702,Luzerne,0,0,0,0,39,0,POINT (-75.891345 41.238396)
36,Lebanon Community Health Center,920 Church St,Lebanon,Pennsylvania,17046,Lebanon,0,0,0,0,4,0,POINT (-76.42776 40.344531)
37,Blueberry Pharmacy,1018 W View Park Dr,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,0,31,0,POINT (-80.036184 40.516635)
38,WellSpan Occupational Health,2250 E Market Street,York,Pennsylvania,17402,York,0,0,0,0,5,0,POINT (-76.682678 39.973843)
39,Cornerstn Cre Prim Cre Ctr Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,0,7,0,POINT (-80.060817 39.734055)
40,Gerritys Pharmacy Hanover,2280 Sans Souci Parkway,Hanover Township,Pennsylvania,18706,Luzerne,0,0,0,12,9,0,POINT (-75.971341 41.209669)
41,PHN-Jacksonville Family Medical Center,29 Saltsburg Road,Clarksburg,Pennsylvania,15725,Indiana,0,0,0,9,0,0,POINT (-79.299222 40.540065)
42,Helping Hands Pediatrics-Sharon,585 East State St,Sharon,Pennsylvania,16146,Mercer,0,0,0,21,12,0,POINT (-80.498057 41.232972)
43,Advanced Surgery Ctr of Lanc LLC,160 North Pointe Blvd,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,411,15,0,POINT (-76.301718 40.072012)
44,Warren General Hospital,2 W Crescent Park,Warren,Pennsylvania,16365,Warren,1,1,0,10,16,80,POINT (-79.153237 41.843719)
45,WAYNE MEMORIAL HOSPITAL,601 Park Street,Honesdale,Pennsylvania,18431,Wayne,1,0,0,514,1,227,POINT (-75.259796 41.576284)
46,Curative Medical Associates Inc,317 W Pike St,Canonsburg,Pennsylvania,15317,Washington,0,0,0,224,0,0,POINT (-80.195148 40.25802)
47,Berks Genesis Family Medicine PC,1555 Schuylkill Ave,Reading,Pennsylvania,19601,Berks,0,0,0,59,0,0,POINT (-75.951184 40.358665)
48,Wellspan Good Samaritan Hospital,252 S 4th Street,Lebanon,Pennsylvania,17042,Lebanon,3,2,0,74,578,378,POINT (-76.417336 40.335914)
49,Cooks Pharmacy of Kingston,777 wyoming ave,Kingston,Pennsylvania,18704,Luzerne,0,0,0,13,323,12,POINT (-75.883795 41.274076)
50,Temple Family Medicine-Fort Washington,515 Pennsylvania Avenue,Fort Washington,Pennsylvania,19034,Montgomery,0,0,0,0,23,0,POINT (-75.206327 40.134534)
51,The Medicine Shoppe-Latrobe,709 Ligonier Street,Latrobe,Pennsylvania,15650,Westmoreland,0,0,0,0,110,591,POINT (-79.385532 40.317125)
52,Select Specialty Hospital-Erie,252 West 11th Street,Erie,Pennsylvania,16501,Erie,0,0,0,5,2,0,POINT (-80.087573 42.122469)
53,SCI-Camp Hill,2500 LISBURN ROAD,Camp Hill,Pennsylvania,17011,Cumberland,0,0,0,0,26,0,POINT (-76.924054 40.217149)
54,GIANT PHARMACY-6091,1760 DEKALB PIKE,BLUE BELL,PA,19422,Montgomery,0,0,0,49,1250,942,POINT (-75.307212 40.149205)
55,Heritage Valley Hlth Sys Sewickley,720 Blackburn Road,Sewickley,Pennsylvania,15143,Allegheny,0,0,0,0,47,0,POINT (-80.178759 40.54352)
56,AHOLD USA-GIANT PHARMACY 6023,700 NUTT RD,Phoenixville,Pennsylvania,19460,Chester,0,0,0,45,717,133,POINT (-75.534998 40.132154)
57,Giant Pharmacy-6284,1824 RIDGE PK,ROYERSFORD,PA,19468,Montgomery,0,0,0,54,1211,117,
58,AHN-Century III Medical Associates,2027 Lebanon Church Road 2nd Floor,West Mifflin,Pennsylvania,15122,Allegheny,0,0,3,86,15,0,POINT (-79.949494 40.348056)
59,Roadway Pharmacy,6858 Route 711,Seward,Pennsylvania,15954,Westmoreland,0,0,0,6,247,3,POINT (-79.02281 40.406128)
60,OAKSIDE CARE PHARMACY,440 LEHIGH ST,Reading,Pennsylvania,19601,Berks,0,0,0,642,26,1503,POINT (-75.948219 40.354269)
61,AHOLD USA-GIANT PHARMACY-6112,255 S SPRING GARDEN STREET,CARLISLE,PA,17013,Cumberland,0,0,0,41,641,70,POINT (-77.181721 40.196578)
62,FPC Harisbrg commer St Fam Prac Ctr,2850 Commerce Drive,Harrisburg,Pennsylvania,17110,Dauphin,0,0,0,0,38,0,POINT (-76.836167 40.312139)
63,WellSpan Internl Med St.Charles Wy,370 St. Charles Way,York,Pennsylvania,174024647,York,0,0,0,0,207,0,POINT (-76.694658 39.927244)
64,GIANT PHARMACY-6045,849 WEST BALTIMORE PIKE,WEST GROVE,PA,19390,Chester,0,0,0,81,1637,916,POINT (-75.875122 39.824105)
65,VDI-Dubois Drug and Wellness,700 S Brady Street,Du Bois,Pennsylvania,15801,Clearfield,0,8,0,219,6,60,POINT (-78.771156 41.109337)
66,LGH Twin Rose Fam Med Wrightsville,6415 Lincoln Hwy,Wrightsville,Pennsylvania,17368,York,0,0,0,0,38,0,POINT (-76.544998 40.02244)
67,Community Health Clinic-Greensburg,218 South Maple Avenue,Greensburg,Pennsylvania,15601,Westmoreland,0,0,0,30,0,0,POINT (-79.542686 40.300958)
68,AHN-AC IM UNITED PHYSICIANS,305 Seventh Street,New Kensington,Pennsylvania,15068,Westmoreland,0,0,0,0,159,0,POINT (-79.766371 40.562297)
69,VDI-Mill Hall Pharmacy Inc,260 Main Street,Mill Hall,Pennsylvania,17751,Clinton,0,0,0,389,1524,1212,POINT (-77.484734 41.103677)
70,PHN-Lewistown Community Health Center,106 Derry Heights,Lewistown,Pennsylvania,17044,Mifflin,0,0,0,11,76,0,POINT (-77.577034 40.643141)
71,Impact Health,1009 W 9th Ave Suite A,King of Prussia,Pennsylvania,19406,Montgomery,0,33,0,171,27,558,POINT (-75.413787 40.101087)
72,Spartan Pharmacy Bethel Park,3400 South Park Rd Unit 1,Bethel Park,Pennsylvania,15102,Allegheny,0,0,0,0,5,0,POINT (-80.057122 40.321885)
73,Tower Health-Int Med Muhlenberg THMG,4201 Kutztown Road,Temple,Pennsylvania,19560,Berks,0,0,0,0,7,72,POINT (-75.919216 40.399147)
74,LGH-Crooked Oak Family Medicine,1655 Crooked Oak Drive,Lancaster,Pennsylvania,17601,Lancaster,0,0,0,0,8,0,POINT (-76.290404 40.069048)
75,GIANT PHARMACY-6331,5301 SIMPSON FERRY ROAD,Mechanicsburg,Pennsylvania,17050,Cumberland,0,0,0,11,949,6,POINT (-76.993636 40.215631)
76,GIANT PHARMACY-6457,7150 HAMILTON BOULEVARD,TREXLERTOWN,PA,18087,Lehigh,0,0,0,315,1228,1032,POINT (-75.593699 40.551865)
77,UPMC-CHANTZ BIEDRZYCKI ASSOC,100 Delafield Road,Pittsburgh,Pennsylvania,15215,Allegheny,0,0,0,0,99,156,POINT (-79.897328 40.489519)
78,GIANT PHARMACY-6061,397 BALTIMORE RD,Shippensburg,Pennsylvania,17257,Cumberland,0,0,0,55,1032,114,POINT (-77.502792 40.047125)
79,PSH Cmty Vax Site-Lancaster,1600 Cloister Drive,Lancaster,Pennsylvania,17601,Lancaster,17,0,0,28,593,0,POINT (-76.356358 40.082223)
80,The Hometown Pharmacy-Center,3589 BRODHEAD RD,Monaca,Pennsylvania,15061,Beaver,0,0,0,0,1073,0,POINT (-80.31634 40.658601)
81,GIANT PHARMACY-6446,4655 PERKIOMEN AVENUE,READING,PA,19606,Berks,0,0,0,0,1479,285,POINT (-75.862614 40.30735)
82,EMHS Physician Office,100 Hospital Drive,Montrose,Pennsylvania,18801,Susquehanna,0,0,0,2,8,0,POINT (-75.836978 41.83573)
83,Wellspan Gettysburg Hospital,PHARMACY 147 GETTYS STREET,GETTYSBURG,PENNSYLVANIA,17325,Adams,0,35,0,173,0,6,
84,Central Bucks Fam Pract PC Doylestown,252 W Swamp Rd,Doylestown,Pennsylvania,18901,Bucks,0,0,0,0,1,0,POINT (-75.137894 40.333244)
85,Wellspan Fam and Sprts Med Cocalico,30 West Swartzville Road P.O. Box 515,Reinholds,Pennsylvania,17569,Lancaster,6,0,0,71,287,11,POINT (-76.079221 40.233923)
86,Patient Care Pharmacy,422 S Duke Street,Lancaster,Pennsylvania,17602,Lancaster,0,0,0,207,15,110,POINT (-76.3018 40.034179)
87,SLUHHN-Allentown,1736 HAMILTON BLVD Inpatient Pharmacy - 2nd Floor,Allentown,Pennsylvania,18104,Lehigh,0,100,0,197,5,0,
88,SLPG Community Hlth Fam Pract Bethleh,2830 Easton Avenue,Bethlehem (Part-Northampton),Pennsylvania,18017,Northampton,0,0,0,2,0,0,POINT (-75.342753 40.646673)
89,Hatboro Pediatrics PC,483 E County Line Rd,Hatboro,Pennsylvania,19040,Montgomery,0,0,0,21,779,1181,POINT (-75.081464 40.177281)
90,George Junior Republic in PA,233 George Junior Road,Grove City,Pennsylvania,16127,Mercer,0,0,0,0,1,0,POINT (-80.110636 41.171763)
91,VDI-Skippack Pharmacy,4118 W Skippack Pike,Schwenksville,Pennsylvania,19473,Montgomery,0,0,0,1623,99,0,POINT (-75.405269 40.228146)
92,Norland Avenue Pharmacy,12 St. Paul Drive,Chambersburg,Pennsylvania,17201,Franklin,0,1,0,31,856,0,POINT (-77.634763 39.943292)
93,Allghny Cnty Hlth Dept-Immuniz Cl,425 1st Avenue,Pittsburgh,Pennsylvania,15219,Allegheny,0,0,0,1690,8,579,POINT (-79.9995 40.436835)
94,UPMC-Susquehanna Pediatrics,700 High Street 9th Floor,Williamsport,Pennsylvania,17701,Lycoming,0,0,0,5,742,0,POINT (-77.014432 41.24547)
95,Torrance State Hospital,121 Longview Drive,Torrance,Pennsylvania,15779,Westmoreland,0,0,0,15,2,40,POINT (-79.238368 40.415289)
96,Fresenius Kidney Care Uniontown,360 Walmart Drive,Uniontown,Pennsylvania,15401,Fayette,0,0,0,0,34,0,POINT (-79.757844 39.91536)
97,Pepper Pharmacy,195 to 197 East Plumstead Ave,Lansdowne,Pennsylvania,19050,Delaware,0,0,0,25,1056,980,POINT (-75.26855 39.95048)
98,CHOP Care Network-West Chester,770 Miles Rd,West Chester,Pennsylvania,19380,Chester,0,0,0,37,778,90,POINT (-75.62833 39.963615)
99,MNPG Bellefonte Pediatrics,129 Medical Park Lane MNPG Pediatrics Bellefonte,Bellefonte,Pennsylvania,16823,Centre,0,0,0,0,46,0,POINT (-77.748973 40.915242)
100,Hazle Drugs,1 East Broad Street,Hazleton,Pennsylvania,18201,Luzerne,0,0,0,34,2789,3,POINT (-75.973627 40.953964)
101,Cornerstone Care-Clairton,559 Miller Avenue,Clairton,PA,150251746,Allegheny,0,0,0,123,46,200,POINT (-79.883266 40.293136)
102,The Burke Center Inc.,70 Hollow Crest Rd,Tunkhannock,Pennsylvania,18657,Wyoming,0,0,0,0,2,0,POINT (-75.97541 41.579973)
103,MARTINS PHARMACY-6308,1570 OAKLAND AVE,Indiana,Pennsylvania,15701,Indiana,0,0,0,69,1007,56,POINT (-79.172406 40.614732)
104,Centre Volunteers in Medicine,2520 Green Tech Dr.,State College,Pennsylvania,16803,Centre,10,24,0,1071,37,910,POINT (-77.918776 40.813498)
105,Pediatrics of Northeastern Pennsylvania,920 Viewmont Drive,Dickson City,Pennsylvania,18519,Lackawanna,0,0,0,0,57,0,POINT (-75.646449 41.454855)
106,WellSpan Family Medicine-Wheatlyn,235 Rosedale Dr,Manchester,PA,17345,York,0,0,0,13,251,6,POINT (-76.72569 40.049339)
107,Symbria Rx Great Lakes South LLC,307 23rd street ext.,Pittsburgh,Pennsylvania,15215,Allegheny,0,0,0,182,2,422,POINT (-79.910239 40.495161)
108,AHOLD USA-GIANT PHARMACY-6333,901 S WEST END BOULEVARD,QUAKERTOWN,PA,18951,Bucks,0,0,0,443,1517,0,POINT (-75.345596 40.420719)
109,Millcreek Manor Pharmacy,5535 Peach St,Erie,Pennsylvania,16509,Erie,0,0,0,22,2953,0,POINT (-80.093535 42.073055)
110,Penn State Health Rehab Hospital,1135 Old West Chocolate Ave,Hershey,Pennsylvania,17033,Dauphin,1,0,0,0,0,0,POINT (-76.685233 40.272871)
111,THMG Vaccine Clinic-Muhlenberg,1000 Tuckerton Court,Reading,Pennsylvania,19605,Berks,0,0,0,0,2,0,POINT (-75.947992 40.400747)
112,CHOP Care Network-Pottstown,1590 Medical Drive,Pottstown,Pennsylvania,19464,Montgomery,0,0,0,107,297,252,POINT (-75.612925 40.23959)
113,Harrisburg Endoscopy Surgery Center,4760 Union Deposit Road,Harrisburg,Pennsylvania,17111,Dauphin,0,0,0,1,0,0,POINT (-76.803702 40.280227)
114,GIANT PHARMACY-6097,1250 COCOA AVENUE,HERSHEY,PA,17033,Dauphin,0,0,0,23,827,210,POINT (-76.64787 40.269063)
115,Retreat Behavioral Health,1170 S State St,Ephrata,Pennsylvania,17522,Lancaster,0,0,0,11,209,0,POINT (-76.200877 40.164121)
116,Preferd Prim Cre Phys PPCP,701 Technology Dr MANOR OAK II,Canonsburg,Pennsylvania,15317,Washington,0,0,0,2,48,0,
117,Neighborhood HCLV-Bethlehem,1210 East 4th Street,Bethlehem (Part-Northampton),Pennsylvania,18015,Northampton,2,0,0,5,30,0,POINT (-75.359751 40.611208)
118,SCI-Huntingdon,1100 Pike Street,Huntingdon,Pennsylvania,16654,Huntingdon,15,0,0,3,380,163,POINT (-78.02581 40.489004)
119,Hillcrest Pharm Compounding of Lanc,3985 Columbia Ave Unit 2,Columbia,Pennsylvania,17512,Lancaster,0,0,0,1444,143,375,POINT (-76.453422 40.036764)
120,AHN-AC FM FPMAS JEFFERSON,1200 BROOKS LANE JEFFERSON HILLS,Clairton,Pennsylvania,15025,Allegheny,0,0,0,0,157,0,
121,Margiotti and Kroll Pediatrics Newtown,671 Newtown-Yardley Rd,Newtown,Pennsylvania,18940,Bucks,0,0,0,0,669,0,POINT (-74.920435 40.229428)
122,FPC -Mt Pleasant Mills Fam Practice Cntr,9627 Route 35,Mount Pleasant Mills,Pennsylvania,17853,Snyder,0,0,0,4,2,0,POINT (-77.022271 40.721775)
123,Childrens Clinic of Wyomissing,2240  Ridgewood Road,Reading,Pennsylvania,19610,Berks,0,0,0,0,9,355,POINT (-75.978551 40.343573)
124,FPC-Selinsgrove 2 Family Practice Center,21 Susquehanna Valley Mall Drive,Selinsgrove,Pennsylvania,17870,Snyder,0,0,0,0,13,0,POINT (-76.850738 40.821767)
125,CHOP Care Network-Paoli,2 Industrial Boulevard,Paoli,Pennsylvania,19301,Chester,0,0,0,24,156,414,POINT (-75.498307 40.042792)
126,Lincoln Pharmacy,232 North Avenue,Pittsburgh,Pennsylvania,15209,Allegheny,0,0,0,42,75,0,POINT (-79.974787 40.481161)
127,WellSpan Fam Med-Stonebridge,13515 Wolfe Rd,New Freedom,PA,17349,York,0,0,0,54,1,18,POINT (-76.662289 39.774663)
128,Artisan Smiles,1 E 9th Street 2nd Floor,Chester,Pennsylvania,19013,Delaware,0,0,0,0,16,0,POINT (-75.362953 39.851749)
129,Derry Street Pharmacy,1304 Derry St,Harrisburg,Pennsylvania,17104,Dauphin,0,0,0,0,0,98,POINT (-76.868574 40.263018)
130,Chester County Hospital,PHARMACY 701 EAST MARSHALL STREET,WEST CHESTER,PENNSYLVANIA,19380,Chester,0,0,0,0,380,20,
131,LVPG-Coordinated Health LV Hospital,3100 Emrick Blvd,Bethlehem (Part-Northampton),Pennsylvania,18020,Northampton,0,5,0,138,1117,105,POINT (-75.295264 40.66533)
132,PPCP-Kotar Kolpo-Oxford Drive,2000 Oxford Drive,Bethel Park,Pennsylvania,15102,Allegheny,0,0,0,0,36,0,POINT (-80.051455 40.343814)
133,Masonic Village Pharmacy,99 Masonic Drive,Elizabethtown,Pennsylvania,17022,Lancaster,0,0,0,187,511,75,POINT (-76.641546 40.137397)
134,Central Outreach Wellness Center,127 ANDERSON ST,Pittsburgh,Pennsylvania,15212,Allegheny,0,1,0,109,841,493,POINT (-80.000677 40.448772)
135,East Side Pediatrics,5808 Eva Street,Pittsburgh,Pennsylvania,15206,Allegheny,0,0,0,4,2,0,POINT (-79.928124 40.461352)
136,Allergy and Clinical Immunology Assoc,180 Fort Couch Rd,Pittsburgh,Pennsylvania,15241,Allegheny,0,0,0,0,7,0,POINT (-80.054138 40.34591)
137,Smartmed Prescription Center,233 E High St,Carlisle,Pennsylvania,17013,Cumberland,0,0,0,808,44,0,POINT (-77.183011 40.200964)
138,Martin Drugs Incorporated,627 S. Chester Road,Swarthmore,Pennsylvania,19081,Delaware,0,0,0,4,22,0,POINT (-75.353599 39.890698)
139,GIANT PHARMACY-6529,4510 MARKETPLACE WAY,ENOLA,PA,17025,Cumberland,6,0,0,160,762,194,POINT (-76.975882 40.289404)
140,Graham Medical Clinic,100 South High Street,Newville,Pennsylvania,17241,Cumberland,0,0,0,2,0,0,POINT (-77.397268 40.169962)
141,Holy Redeemer Hospital and Med Center,1648 Huntingdon Pike Attn: Pharmacy Dept,Meadowbrook,Pennsylvania,19046,Montgomery,6,1,5,34,8,0,POINT (-75.081101 40.108944)
142,Keith Sadel MD Internl Med LLC,715 Cherry Ln 2nd floor,Southampton,Pennsylvania,18966,Bucks,0,0,0,40,210,27,POINT (-75.041593 40.173599)
143,Wellspan Pharmacy-Apple Hill,25 Monument Rd,York,Pennsylvania,17403,York,0,0,0,23,371,138,POINT (-76.716233 39.923562)
144,Woods Service,10 Meadowood Dr,Langhorne,Pennsylvania,19047,Bucks,13,18,0,56,89,0,POINT (-74.912823 40.169763)
145,Tyrone Hosp,187 Hospital Drive,Tyrone,Pennsylvania,16686,Blair,0,0,0,104,27,220,POINT (-78.252302 40.674843)
146,Primary Care Group 5,2027 Lebanon Church Rd second floor,West Mifflin,Pennsylvania,15122,Allegheny,0,0,0,1,0,0,POINT (-79.94943 40.348063)
147,Wellspan Ephrata Community Hospital,PHARMACY DEPARTMENT 169 MARTIN AVENUE,EPHRATA,PENNSYLVANIA,17522,Lancaster,13,0,0,198,91,0,
148,Chester County Pediatrics-Exton,690 West Lincoln Highway,Exton,Pennsylvania,19341,Chester,0,0,0,0,1745,1445,POINT (-75.663889 40.021547)
149,PharMerica WB,153 Stewart Rd,Wilkes Barre,Pennsylvania,18706,Luzerne,0,0,0,0,4,0,POINT (-75.921518 41.21495)
150,GIANT PHARMACY-6291,698 DOWNINGTOWN PIKE,WEST CHESTER,PA,19380,Chester,1,0,0,715,579,594,POINT (-75.62212 39.961848)
151,Amudipes Behavioral Health,59 East Baltimore Avenue,Clifton Heights,Pennsylvania,19018,Delaware,0,0,0,705,4,490,POINT (-75.295526 39.929875)
152,Lebanon Valley Family Medicine-Palmyra,1400 South Forge Road,Palmyra,Pennsylvania,17078,Lebanon,0,0,0,0,1,0,POINT (-76.576423 40.296115)
153,John Manubay MD LLC,4400 Penn Ave,Sinking Spring,Pennsylvania,19608,Berks,0,13,0,45,6,640,POINT (-76.031422 40.326169)
154,LGHP-Family Medicine Oxford,620 Spear St,Oxford,Pennsylvania,19363,Chester,0,0,0,4,87,0,POINT (-75.971587 39.783594)
155,WellSpan Internal Medicine-Lebanon,720 Norman Dr,Lebanon,Pennsylvania,17042,Lebanon,0,0,0,3,30,0,POINT (-76.417969 40.313575)
156,AHN-SVMG FM HWP Eastside Pavilion,4950 Buffalo Road,Erie,Pennsylvania,16510,Erie,0,0,0,0,18,0,POINT (-79.990278 42.152469)
157,FPC-Sunbury Family Practice Center,409 N 4th Street,Sunbury,Pennsylvania,17801,Northumberland,0,0,0,3,1,0,POINT (-76.788614 40.865865)
158,AHN AC IM Washing Internal Medic,400 LOCUST AVE,Washington,Pennsylvania,15301,Washington,0,0,0,104,99,0,POINT (-80.242362 40.181357)
159,EINSTEIN MEDICAL CENTER MONTGOMERY,EMCM PHARMACY 559 W GERMANTOWN PIKE,East Norriton,Pennsylvania,19403,Montgomery,1,1,0,46,3,580,
160,AHN SVMG WESTMINSTER FAM PRAC,3822 Colonial Ave.,Erie,Pennsylvania,16506,Erie,0,0,0,3,41,0,POINT (-80.15696 42.068534)
161,GIANT PHARMACY-6534,4930 EDGEMONT AVE,BROOKHAVEN,PA,19015,Delaware,0,1,0,1158,1086,1099,POINT (-75.396381 39.877895)
162,VDI-Applebys Drug Store Inc,133 East Shirley Street,Mount Union,Pennsylvania,17066,Huntingdon,0,0,0,8,640,0,POINT (-77.87744 40.381296)
163,Cornerstone Care-Prim Care Ctr-Mt Morris,120 Locust Ave Ext *,Mount Morris,Pennsylvania,15349,Greene,0,0,0,10,13,0,POINT (-80.060817 39.734055)
164,Wellspan Fam Medicine-Roosevelt Avenue,1401 Roosevelt Avenue,York,Pennsylvania,17404,York,0,0,0,0,1,0,POINT (-76.758734 39.97938)
165,AHN St Vincent Family Med Center,311 West 24th Street,Erie,Pennsylvania,16502,Erie,0,0,0,44,150,0,POINT (-80.0814 42.111191)
166,MDS RX,246 Friendship Cir,Beaver,Pennsylvania,15009,Beaver,10,1,0,199,1,672,POINT (-80.328004 40.705732)
167,Metro Community Health Center,1789 South Braddock  Avenue,Pittsburgh,Pennsylvania,15218,Allegheny,0,1,0,158,192,0,POINT (-79.889539 40.426164)
168,Allegheny Cty Bur of Corrections,950 Second Avenue,Pittsburgh,Pennsylvania,15219,Allegheny,3,0,2,32,7,1,POINT (-79.99322 40.435088)
169,UPMC-CCA-WESTVIEW,1024 West View Park Drive,Pittsburgh,Pennsylvania,15229,Allegheny,0,0,0,16,0,0,POINT (-80.037027 40.516565)
170,VDI-Livingston Pharmacy,550 Miller Ave,Clairton,Pennsylvania,15025,Allegheny,0,0,0,0,792,0,POINT (-79.883127 40.293571)
171,Latino Connection LLC,4211 Elmerton Avenue,Harrisburg,Pennsylvania,17109,Dauphin,0,0,0,0,1127,660,POINT (-76.824195 40.299011)
172,VDI-Northern Bedford Pharmacy,3499 Brumbaugh Rd,New Enterprise,Pennsylvania,16664,Bedford,0,0,0,9,421,0,POINT (-78.417164 40.16967)
