,NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
19,Sunrise Comprehensive Healthcare,Community Clinic,,,Houston,Harris,10603 Bellaire Blvd Suite B116,77072,7/26/2021,17:32:49,0,20,0,0,0,20,0,,
20,Kroger Pharmacy 599,Pharmacy,,4620 State Highway 121,Lewisville,Denton,4620 State Highway 121,75056,5/27/2021,8:05:00,312,0,0,0,20,332,0,(469) 535-2480,http://www.kroger.com/stores/details/035/00599?cid=loc_03500599PP_gmb
21,Dept of Public Health - Tarrant County / Northwest Public Health Center,Local Health Department,,3800 Adam Grubb,Fort Worth,Tarrant,3800 Adam Grubb,76135,6/29/2021,16:49:58,18,100,0,0,0,118,0,(817) 238-4441,
22,Providence Health Center,Hospital,M,6901 Medical Pkwy,Waco,McLennan,6901 Medical Pkwy,76712,5/28/2021,12:50:45,1380,0,268,0,0,1380,268,254-751-4000,https://www.healthcare.ascension.org
23,Destination Life LLC-S,Medical Practice,,1759 Broad Park Cir S,Mansfield,Tarrant,"1759 Broad Park Circle South, Mansfield, TX, USA",76063,7/14/2021,10:01:23,0,190,0,0,0,190,0,,
24,Boyd House Calls,Other,,,Woodway,,14051 Shadow Grove Cir ,76712,7/26/2021,16:50:38,0,0,0,88,0,0,88,(254)640-8345,
25,Chevron Houston Medical Clinic,Community Clinic,,1400 Smith St,Houston,Harris,1400 Smith St Houston 77002,77002,6/21/2021,17:51:06,0,327,0,0,45,372,0,(936) 443-8793,
26,Texas Oncology Pa Beaumont,Medical Practice,,690 N 14th St,Beaumont,Jefferson,690 N 14th St,77702,5/27/2021,11:14:51,0,100,0,0,0,100,0,(409) 813-1686,https://www.texasoncology.com/cancer-centers/beaumont/beaumont/medical-oncology
27,Steven A Davis Md Pa,Medical Practice,,7810 Louis Pasteur,San Antonio,Bexar,7810 Louis Pasteur,78229,7/8/2021,7:12:52,0,40,0,0,0,40,0,(210) 614-3355,https://dermlasersa.com/
28,Tyler Family Circle of Care - Glenwood,Community Clinic,,928 N Glenwood Blvd,Tyler,Smith,928 North Glenwood Boulevard,75702,6/21/2021,8:08:36,0,0,0,90,0,0,90,(903) 535-9041,
29,HEALTH RX SCRIPTS,Pharmacy,,900 S WAYSIDE DR STE 400A,Houston,Harris,900 S WAYSIDE DR STE 400A,77023,6/3/2021,18:40:44,0,730,0,0,445,1175,0,,
30,"J. Blake Bolin, M.D., P.A.",Medical Practice,,,Frisco,Collin,3550 Parkwood Blvd Bldg D,75034,6/25/2021,16:09:13,0,20,0,20,0,20,20,,
31,Sugarland-Internal Medicine and Pediatrics,Medical Practice,,1327 Lake Pointe Pkwy Ste 410,Sugar Land,,1327 Lake Pointe Pkwy Ste 410,77478,7/26/2021,9:33:18,0,0,0,0,5,5,0,,
32,San Antonio Health and Wellness Center,Other,,3302 N ELLISON DR,San Antonio,,3302 N ELLISON DR San Antonio 78251,78251,6/15/2021,9:51:54,0,0,0,0,50,50,0,,
33,Loandepot Inc,Other,,5465 S Legacy Dr,Plano,Collin,5465 S Legacy Dr,75024,7/6/2021,11:01:49,0,180,0,0,0,180,0,,
34,CHRISTUS MOTHER FRANCES SULPHUR SPRINGS,Hospital,F,115 Airport Rd,Sulphur Springs,Hopkins,115 Airport Rd,75482,6/23/2021,8:25:19,1182,470,246,400,1525,3177,646,903.885.7671,https://www.christushealth.org/trinity/sulphur-springs?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTE3ODExOTUtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
35,North Central Surgical Center Hospital,Hospital,,, DALLAS,Dallas,9301 NORTH CENTRAL EXPRESSWAY DALLAS 75231,75231,7/27/2021,7:50:52,0,70,0,0,0,70,0,,
36,Walgreens Pharmacy 05558,Pharmacy,,,,,"1507 W PLEASANT RUN RD Lancaster, TX 75146",,7/11/2021,17:46:06,120,0,0,0,0,120,0,(972) 218-6446,https://www.walgreens.com/locator/walgreens-1507+w+pleasant+run+rd-lancaster-tx-75146/id=5558
37,Dept of Public Health - Tarrant County / Watauga,Local Health Department,,6601 Watauga Rd,Fort Worth,Tarrant,6601 Watauga Rd,76148,6/11/2021,16:03:49,12,90,0,0,0,102,0,(817) 321-4740,
38,Austin Public Health Immunization Program Mobile,Other,,15 Waller,Austin,Travis,15 Waller,78702,5/28/2021,18:25:29,0,200,0,200,95,295,200,512-972-5560,https://austintexas.gov/covid19
39,Healthville Pharmacy,Pharmacy,,7215 Mcpherson Rd,Laredo,Webb,7215 Mcpherson Rd,78041,6/29/2021,10:15:15,957,240,0,240,402,1599,240,(956) 701-3349,https://www.mygnp.com/pharmacies/healthville-pharmacy-laredo-tx-78041/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=5919925
40,Walgreens Pharmacy 07721,Pharmacy,,,,,"1307 FM 1092 RD Missouri City, TX 77459",,6/10/2021,20:15:45,120,0,102,0,0,120,102,(281) 499-5150,https://www.walgreens.com/locator/walgreens-1307+fm+1092+rd-missouri+city-tx-77459/id=7721
41,Douglass Visions Committee Inc,Community Clinic,,1000 18th Street,Plano,Collin,1000 18th Street,75074,5/26/2021,13:30:09,0,100,0,0,0,100,0,,
42,Coastal Health & Wellness,Other,,9850 Emmett F Lowry Expressway,Texas City,Galveston,9850 Emmett F Lowry Expressway,77591,6/15/2021,16:55:02,0,100,0,10,0,100,10,,
43,Humble and Pacific Pharmacy,Federal Allocation,,211 Fm 1960 Bypass Road East,Humble,Harris,211 Fm 1960 Bypass Road East,77338,7/26/2021,16:30:17,900,90,900,90,150,1140,990,,
44,City of Garland Health Department,Vaccine Hub,,206 Carver Dr,Garland,Dallas,206 Carver Dr,75040,5/29/2021,19:12:18,594,1710,594,1200,600,2904,1794,972-205-3900,http://garlandtx.gov/
45,LIFECARE PHARMACY OF DENVER CITY INC,Pharmacy,,403 Mustang Drive,Denver City,Yoakum,403 MUSTANG DR Denver City 79323,79323,6/5/2021,12:26:35,0,50,0,0,85,135,0,,
46,"TRUMED PHARMACY, LLC",Other,,East Sam Houston Parkway N,Houston,Harris,5620 East Sam Houston Parkway N,77015,5/3/2021,19:14:45,124,230,0,0,265,619,0,,
47,Cullen Care Pharmacy Inc dba Pets & People Pharmacy,Other,,,Pearland,Pearland,9215 Broadway St,77584,5/19/2021,18:36:42,2500,1500,2500,1500,130,4130,4000,,
48,Rgv Urgent Care Clinic,Other,,,Edinburg,Hidalgo,3502 W Alberta Rd,78539,7/11/2021,9:37:17,0,130,0,0,0,130,0,,
49,AKB LLC,Community Clinic,,,Gainesville,Cooke,842 E California St Unit A,76240,7/26/2021,18:49:04,0,50,0,0,70,120,0,,
50,Magnolia Pharmacy,Pharmacy,,18230 Fm 1488 Rd Ste 100,Magnolia,Montgomery,18230 Fm 1488 Rd Ste 100,77354,5/30/2021,21:19:01,0,150,0,240,160,310,240,(281) 356-9089,https://www.mygnp.com/pharmacies/magnolia-pharmacy-magnolia-tx-77354/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=4525448
51,Communicare Health Centers West,Medical Practice,P,1102 Barclay St,San Antonio,Bexar,1102 Barclay St,78207,5/26/2021,17:54:48,2359,610,0,0,2355,5324,0,210-431-6142,
52,Maverick County Hospital District,Community Clinic,,3406 Bob Rogers Dr Ste 290,Eagle Pass,Maverick,3406 Bob Rogers Dr Ste 290,78852,6/22/2021,9:43:16,0,180,0,0,205,385,0,(830) 757-4900,http://www.mchdep.org/
53,Marshall Harrison County Health District,Local Health Department,,805 Lindsey Dr,Marshall,Harrison,805 Lindsey Dr,75670,5/27/2021,8:16:42,0,0,0,0,545,545,0,,
54,Marathon Health,Community Clinic,,,Lewisville,Denton,2785 Rock Brook Dr,75067,5/26/2021,15:43:04,0,110,0,0,0,110,0,,
55,Marathon Petroleum Texas City,Other,,2401 5th Ave S,Texas City,Galveston,2401 5th Ave S,77590,5/24/2021,7:41:18,0,62,0,0,0,62,0,419-422-2121,
56,LIVE OAK COMMUNITY HEALTH CENTER,Medical Practice,,"105 East Thornton Street, Three Rivers, TX, USA",Three Rivers,Live Oak,"105 East Thornton Street, Three Rivers, TX, USA",78071,5/28/2021,8:16:05,0,80,0,100,0,80,100,361-786-3618,
57,Marathon Health-Midland,Other,,W ILLINOIS AVE,Midland,Midland,600 W ILLINOIS AVE MIDLAND 79701,79701,6/2/2021,16:09:08,0,60,0,0,0,60,0,(432) 221-0400,https://www.marathon-health.com/
58,"Impact Health Biometric Testing, Inc",Medical Practice,,,Austin,Travis,6448 East Hwy 290,78723,5/28/2021,12:09:31,0,100,0,0,0,100,0,,
59,EAGLE LAKE DRUGSTORE,Pharmacy,,702 S MCCARTY AVE,Eagle Lake,Colorado,702 S MCCARTY AVE EAGLE LAKE 77434,77434,7/23/2021,13:19:19,0,30,0,0,0,30,0,,
60,Albertsons Pharmacy 3249,Federal Allocation,,,El Paso,El Paso,3150 N Zaragoza Road,79938,6/19/2021,16:22:12,39,0,39,0,175,214,39,,
61,Friedman Family Practice,Pharmacy,,,Frisco,Denton,11560 Teel Pkwy,75033,6/5/2021,9:26:01,0,400,0,0,0,400,0,,
62,A T Pharmacy Management LLC,Pharmacy,,780 Ne Alsbury Blvd,Burleson,Johnson,780 NE ALSBURY BLVD STE B Burleson 76028,76028,6/5/2021,13:43:41,0,0,0,10,0,0,10,,
63,Y-Family Healthcare Clinic ,Medical Practice,,E Tidwell ,Houston,Harris,712  E. Tidwell Suite H,77022,6/23/2021,6:42:18,0,0,102,10,0,0,112,,
64,"Davis City Pharmacy, Inc",Federal Allocation,,111 Trinity Avenue,Weatherford,Parker,111 Trinity Avenue,76086,6/3/2021,16:21:52,0,380,0,330,0,380,330,(817) 594-3851,
65,Trophyrx Pharmacy Az Health Systems Llc,Other,,,Azle,Tarrant,605 Nw Parkway,76020,6/28/2021,17:33:35,78,690,0,0,100,868,0,,
66,Kroger Pharmacy 346,Pharmacy,,,HOUSTON,,1505 WIRT RD ,77055,6/2/2021,8:05:00,154,300,0,0,95,549,0,,
67,Kroger Pharmacy 739,Other,,,Houston,,9125 W Sam Houston Pkwy ,77064,6/2/2021,8:05:00,276,270,276,0,295,841,276,281-447-0701,
68,Kroger Pharmacy 737,Pharmacy,,12400 Fm 1960 Rd W,Houston,Harris,12400 Fm 1960 Rd W,77065,6/2/2021,8:05:00,366,390,0,0,130,886,0,(832) 237-4890,https://www.kroger.com/stores/details/034/00737?cid=loc_03400737_gmb
69,Kroger Pharmacy 735,Pharmacy,,12555 Briar Forest Dr,Houston,Harris,12555 Briar Forest Dr,77077,6/2/2021,8:05:00,210,610,0,0,45,865,0,(281) 496-1092,http://www.kroger.com/stores/details/021/00735?cid=loc_02100735PP_gmb
70,Kroger Pharmacy 733,Pharmacy,,1550 W Grand Pkwy S,Katy,Fort Bend,1550 W Grand Pkwy S,77494,6/2/2021,8:05:00,210,292,0,0,10,512,0,(281) 693-0606,http://www.kroger.com/stores/details/034/00733?cid=loc_03400733PP_gmb
71,Kroger Pharmacy 607,Pharmacy,,2300 Gessner Rd,Houston,Harris,2300 Gessner Rd,77080,6/2/2021,8:05:00,214,400,0,10,175,789,10,(713) 467-9425,http://www.kroger.com/stores/details/034/00607?cid=loc_03400607PP_gmb
72,Kroger Pharmacy 396,Pharmacy,,6350 N Eldridge Pkwy,Houston,Harris,6350 N Eldridge Pkwy,77041,6/2/2021,8:05:00,246,280,246,280,50,576,526,(713) 896-8487,http://www.kroger.com/stores/details/034/00396?cid=loc_03400396PP_gmb
73,Kroger Pharmacy 392,Pharmacy,,6425 Fm 1464 Rd,Richmond,Fort Bend,6425 Fm 1464 Rd,77407,6/2/2021,8:05:00,414,330,0,0,100,844,0,(281) 277-2242,http://www.kroger.com/stores/details/034/00392?cid=loc_03400392PP_gmb
74,Kroger Pharmacy 378,Pharmacy,,6055 Fry Rd,Katy,Harris,6055 Fry Rd,77449,6/2/2021,8:05:00,192,290,0,0,15,497,0,(281) 858-7613,http://www.kroger.com/stores/details/034/00378?cid=loc_03400378PP_gmb
75,Kroger Pharmacy 374,Pharmacy,,8550 Highway 6 N,Houston,Harris,8550 Highway 6 N,77095,6/2/2021,8:05:00,282,420,0,0,75,777,0,(281) 463-2409,http://www.kroger.com/stores/details/034/00374?cid=loc_03400374PP_gmb
76,Kroger Pharmacy 363,Pharmacy,,9919 Westheimer Elmside,Houston,Harris,9919 Westheimer Elmside,77042,6/2/2021,8:05:00,252,240,0,250,70,562,250,(713) 532-5858,http://www.kroger.com/stores/details/011/00363?cid=loc_01100363PP_gmb
77,Kroger Pharmacy 362,Pharmacy,,17455 Spring Cypress Rd,Cypress,Harris,17455 Spring Cypress Rd,77429,6/2/2021,8:05:00,378,290,378,0,10,678,378,(281) 304-0971,http://www.kroger.com/stores/details/034/00362?cid=loc_03400362PP_gmb
78,Kroger Pharmacy 356,Pharmacy,,,Houston,,1352 W 43rd St ,77018,6/2/2021,8:05:00,194,310,194,310,50,554,504,,
79,Kroger Pharmacy 355,Pharmacy,,1938 W Gray St,Houston,Harris,1938 W Gray St,77019,6/2/2021,8:05:00,310,370,0,0,90,770,0,(713) 521-2317,http://www.kroger.com/stores/details/034/00355?cid=loc_03400355PP_gmb
80,Kroger Pharmacy 352,Pharmacy,,18030 Fm 529 Rd,Cypress,Harris,18030 Fm 529 Rd,77433,6/2/2021,8:05:00,168,500,0,0,0,668,0,(281) 550-6942,http://www.kroger.com/stores/details/034/00352?cid=loc_03400352PP_gmb
81,Kroger Pharmacy 349,Pharmacy,,1520 Eldridge Pkwy,Houston,Harris,1520 Eldridge Pkwy,77077,6/2/2021,8:05:00,210,460,0,0,50,720,0,(281) 496-7719,https://www.kroger.com/stores/details/034/00349?cid=loc_03400349_gmb
82,Kroger Pharmacy 336,Pharmacy,,22150 Westheimer Pkwy,Katy,Harris,22150 Westheimer Pkwy,77450,6/2/2021,8:05:00,0,0,36,210,0,0,246,(281) 828-8778,http://www.kroger.com/stores/details/034/00136?cid=loc_03400136PP_gmb
83,Kroger Pharmacy 314,Pharmacy,,5150 Buffalo Speedway,Houston,Harris,"5150 Buffalo Speedway, Houston, TX, USA",77005,6/2/2021,8:05:00,120,210,0,180,75,405,180,,
84,Kroger Pharmacy 312,Pharmacy,,1035 N Shepherd Dr,Houston,Harris,1035 N Shepherd Dr,77008,6/2/2021,8:05:00,234,320,0,0,45,599,0,(713) 880-4661,
85,Kroger Pharmacy 311,Pharmacy,,9330 Jones Rd,Houston,Harris,9330 Jones Rd,77065,6/2/2021,8:05:00,300,390,90,0,65,755,90,(281) 894-4859,http://www.kroger.com/stores/details/034/00311?cid=loc_03400311PP_gmb
86,Kroger Pharmacy 309,Pharmacy,,1801 S Voss Rd,Houston,Harris,1801 S Voss Rd,77057,6/2/2021,8:05:00,240,490,0,490,95,825,490,(713) 780-7643,http://www.kroger.com/stores/details/029/00572P?cid=loc_02900572PP_gmb
87,Kroger Pharmacy 179,Pharmacy,,,Cypress,,20355 Cypresswood Dr ,77433,6/2/2021,8:05:00,276,320,0,0,25,621,0,,
88,Kroger Pharmacy 161,Pharmacy,,,Houston,,14344 Memorial Dr ,77079,6/2/2021,8:05:00,272,730,272,0,0,1002,272,,
89,Kroger Pharmacy 146,Pharmacy,,,Katy,,1712 Spring Green Blvd ,77494,6/2/2021,8:05:00,267,530,0,0,50,847,0,,
90,Kroger Pharmacy 122,Pharmacy,,,Katy,Harris,2700 W Grand Pkwy N,77449,6/2/2021,8:05:00,228,380,0,0,30,638,0,,
91,Kroger Pharmacy 121,Pharmacy,,,Katy,Fort Bend,9806 Gaston Rd,77494,6/2/2021,8:05:00,186,0,0,0,5,191,0,(346) 307-3055,
92,Kroger Pharmacy 115,Pharmacy,,9703 Barker Cypress Rd,Cypress,Harris,9703 Barker Cypress Rd,77433,6/2/2021,8:05:00,398,690,0,0,0,1088,0,(281) 746-3645,http://www.kroger.com/stores/details/034/00115?cid=loc_03400115PP_gmb
93,Kroger Pharmacy 038,Pharmacy,,,Richmond ,Fort Bend,25050 FM 1093 ,77406,6/2/2021,8:05:00,210,370,0,0,5,585,0,832-586-7376,
94,Teare Memorial Clinic,Medical Practice,,146 N Pioneer,Booker,Lipscomb,146 N Pioneer,79005,6/3/2021,10:48:03,0,210,0,200,80,290,200,(806) 658-4531,
95,Campbell Pharmacy,Federal Allocation,,6090 Campbell Rd Suite 100,Dallas,Dallas,6090 Campbell Rd Suite 100,75248,6/2/2021,0:00:00,0,0,0,0,7406,7406,0,,
96,AGP Pharmacy LLC dba Hometown Pharmacy,Federal Allocation,,,Post,Garza,132 W Main Street,79356,7/14/2021,17:23:10,0,150,0,0,230,380,0,,
97,"Agp Pharmacy, Llc Dba Hometown Phar",Federal Allocation,,,Plainview,Hale ,3200 Olton Road Ste B,79072,7/26/2021,18:05:50,0,324,0,324,365,689,324,806-296-9000,
98,Mortar & Pestle Pharmacy,Federal Allocation,,,Houston,Harris,10109 Bissonnet St Ste B,77036,7/26/2021,16:48:05,0,0,0,154,0,0,154,,
99,Zikam Nieghborhood Pharmacy,Federal Allocation,,,San Antonio,Bexar,21920 Bulverde Rd 102/103,78259,6/15/2021,11:56:00,0,0,0,0,125,125,0,,
100,S & J PHARMACY SANGER,Federal Allocation,,,SANGER,Denton,801 W CHAPMAN DR STE 100,76266,6/2/2021,0:00:00,0,0,0,0,235,235,0,(940) 458-4448,
101,Baylor Scott and White Pharmacy #110,Federal Allocation,E,"2460 N. I-35, 155",Waxahachie,Ellis,"2460 N. I-35 E, suite 155",75165,6/2/2021,0:00:00,0,0,0,0,331,331,0,(469) 814-6900,
102,Kroger Pharmacy 03500592,Federal Allocation,,,Arlington,Tarrant,5101 W Sublett Road,76017,6/2/2021,0:00:00,124,0,86,0,1,125,86,,
103,Mendoza's Pharmacy LLC,Federal Allocation,,102 S. University Blvd.,Kingsville,Kleberg,102 S University Blvd Kingsville 78363,78363,7/23/2021,17:53:46,0,0,0,0,145,145,0,,
104,Kroger Pharmacy 03500536,Federal Allocation,,6650 N Beach,Fort Worth,Tarrant,6650 N Beach,76137,6/2/2021,0:00:00,194,0,126,0,0,194,126,,
105,Kroger Pharmacy 03500460,Federal Allocation,,4038 Old Denton Rd,Carrolton,Denton,4038 Old Denton Rd,75007,6/2/2021,0:00:00,481,0,288,0,0,481,288,,
106,(Non Reporting) Clinica Sagrado Corazon,Federal Allocation,,3401 W Mile 5 Rd,Mission,Hidalgo,3401 W Mile 5 Rd Ste 1 Mission 78574,78574,6/2/2021,0:00:00,0,0,0,0,720,720,0,,
107,(Non Reporting) Briargrove Pharmacy,Federal Allocation,,6435 SAN FELIPE ST HOUSTON 77057,Houston,Houston,6435 SAN FELIPE ST HOUSTON 77057,77057,6/2/2021,0:00:00,0,0,0,0,408,408,0,,
108,(Non Reporting) AHF Pharmacy,Federal Allocation,,1435 Westheimer Rd Houston 77006,Houston,Houston,1435 Westheimer Rd Houston 77006,77006,6/2/2021,0:00:00,0,0,0,0,273,273,0,,
109,AHF Pharmacy 2409,Federal Allocation,,Stemmons,Dallas,Dallas,2600 N Stemmons Fwy Ste 141A,TX,6/3/2021,16:49:57,0,50,0,50,80,130,50,,
110,AHF Pharmacy - Medical City,Federal Allocation,,7777 FOREST LN STE B DALLAS 75230,Dallas,Dallas,7777 FOREST LN STE B DALLAS 75230,75230,6/2/2021,0:00:00,0,0,0,0,431,431,0,,
111,S & J Pharmacy Krum,Federal Allocation,,,Krum,,820 E Mccart St Ste C,76249,7/21/2021,16:10:07,0,0,0,0,100,100,0,,
112,(Non Reporting) Old Corner Drug,Federal Allocation,,200 N MAIN ST,West,McLennan,200 N MAIN ST,76691,6/2/2021,0:00:00,0,0,0,0,140,140,0,,
113,(Non Reporting) Highland Drug,Federal Allocation,,504 E AVENUE E, ALPINE,Brewster,504 E AVENUE E,79830,6/2/2021,0:00:00,0,0,0,0,180,180,0,432-837-3931,
114,Highland Drug,Federal Allocation,,504 E AVENUE E, ALPINE,Brewster,"504 E AVENUE E,  Alpine, Texas 79830",79830,7/17/2021,13:21:29,0,20,0,20,0,20,20,432-837-3931,
115,(non-reporting) Kroger Pharmacy 137,Federal Allocation,,,,,3731 Riley Fuzzel Rd Spring 77386,,6/2/2021,0:00:00,0,399,0,264,221,620,264,,
116,Walgreens Pharmacy 01580,Federal Allocation,,,HOUSTON,,6730 HILLCROFT ST,77081,6/2/2021,0:00:00,0,0,0,0,274,274,0,713-988-6407,https://www.walgreens.com/locator/walgreens-6730+hillcroft+st-houston-tx-77081/id=1580
117,Walgreens Pharmacy 02428,Federal Allocation,,,HOUSTON,,2717 FM 1960 RD,77073,6/2/2021,0:00:00,0,270,0,79,134,404,79,281-443-2591,https://www.walgreens.com/locator/walgreens-2717+fm+1960+rd-houston-tx-77073/id=2428
118,(Non-reporting) Heb Pharmacy 395,Federal Allocation,,,,,,,6/2/2021,0:00:00,0,0,0,0,251,251,0,,
119,Kroger Pharmacy 03400320,Federal Allocation,,4825 Sweetwater Blvd,Sugar Land,Sugar Land,4825 Sweetwater Blvd,77479,6/2/2021,0:00:00,462,13,184,5,37,512,189,,
120,(non reporting) HEB Pharmacy 733,Federal Allocation,,,,,,,6/2/2021,0:00:00,0,0,0,0,409,409,0,,
121,Kroger Pharmacy 03400364,Federal Allocation,,6060 Fm2920,Spring,Harris,6060 Fm2920,77379,6/2/2021,0:00:00,282,10,194,7,0,292,201,,
122,Kroger Pharmacy 03400748,Federal Allocation,,,Houston,Harris,10010 Cypresswood Dr,77070,6/2/2021,0:00:00,337,4,233,2,6,347,235,(281) 807-1056,
123,Kroger Pharmacy 03400743,Federal Allocation,,, Friendswood,Galveston,"151 N Friendswood Dr,",77546,6/2/2021,0:00:00,385,8,281,6,28,421,287,(281) 992-1710,
124,Kroger Pharmacy 03400346,Federal Allocation,,,Houston,Harris,1505 Wirt,77055,6/2/2021,0:00:00,434,0,211,0,37,471,211,,
125,NORTHGATE PHARMACY,Federal Allocation,,9411 DYER ST # A El Paso 79924,EL PASO,EL PASO,9411 DYER STREET SUITE A,79924,6/2/2021,0:00:00,0,0,0,0,135,135,0,(915) 400-9900,
126,Fiesta Lifecare Pharmacy 5 LLC,Federal Allocation,,3230 Martin Luther King Jr Blvd,Dallas,Texas,3230 Martin Luther King Junior,75210,6/2/2021,0:00:00,0,340,0,260,0,340,260,,
127,CVS PHARMACY 5685,Federal Allocation,,4700 Kirby Dr,Houston,Harris,4700 Kirby Dr,77098,6/2/2021,0:00:00,0,46,0,11,28,74,11,,
128,10 Minute Pharmacy,Federal Allocation,,18 Gruene Park Dr,New Braunfels,Comal,18 GRUENE PARK DR NEW BRAUNFELS 78130,78130,6/2/2021,0:00:00,0,143,0,35,178,321,35,,
129,Medly Pharmacy,Federal Allocation,,,San Antonio,Bexar,13331 Nacogdoches Rd,78217,7/15/2021,9:20:59,0,84,0,84,85,169,84,,
130,Kroger Pharmacy 243,Federal Allocation,,3300 Montrose Blvd Houston 77006,HOUSTON,Harris,3300 MONTROSE BLVD,77006,6/2/2021,0:00:00,0,0,0,0,794,794,0,,
131,Kroger Pharmacy 03400150,Federal Allocation,,,Baytown,Harris,6315 Garth Rd,77521,6/2/2021,0:00:00,223,0,115,0,9,232,115,(346) 216-4155,
132,Hamarsyl Pharmacy LLc,Federal Allocation,,,McAllen,,"2528 Buddy Owens Blvd, McAllen, TX 78504",78504,7/26/2021,19:43:26,0,110,0,110,20,130,110,(956) 627-4358,https://www.hamarsylpharmacy.com/
