,Clinic Name,Clinic Address,Clinic Suite,Clinic Address Additional,Clinic City,Clinic State,Clinic Zip Code,County Name,Number of Doses Allocated,Most Recent Order Date,Georeferenced Latitude & Longitude,Total Pfizer Ordered,Total Moderna Ordered,Total Janssen Ordered
28,INDIANA REGIONAL MEDICAL CENTER,835 HOSPITAL ROAD,,,Indiana,Pennsylvania,15701,Indiana,2340,4/13/2021,POINT (-79.158891 40.608642),,,
29,CVS/pharmacy01592,405 North Fourth Street,,,Sunbury,Pennsylvania,17801,Northumberland,,,POINT (-76.788462 40.866147),,,
30,GIANT PHARMACY-6018,760 ROUTE 113,,,SOUDERTON,PA,18964,Montgomery,,,POINT (-75.306284 40.319285),,,
31,AHN-Canonsburg Hospital,100 Medical Blvd,,,Canonsburg,Pennsylvania,15317,Washington,1170,4/13/2021,POINT (-80.190434 40.248477),,,
32,RITE AID STORE #04293,5 FRIENDLY DRIVE,,PO BOX 157,DUNCANNON,Pennsylvania,17020,Perry,,,POINT (-77.043773 40.390841),,,
33,AHOLD USA-GIANT PHARMACY 6014,1278 S MARKET STREET,,,ELIZABETHTOWN,PA,17022,Lancaster,,,POINT (-76.590093 40.140095),,,
34,RITE AID STORE #03608,1941 DERRY STREET,,,HARRISBURG,Pennsylvania,17104,Dauphin,,,POINT (-76.855802 40.261166),,,
35,Sams Club Store #4847,6211 STATE ROUTE 30,,,GREENSBURG,Pennsylvania,15601,Westmoreland,,,POINT (-79.591795 40.305416),,,
36,CVS/pharmacy17585,160 W Dekalb Pike,,,King of Prussia,PA,194062327,Montgomery,,,POINT (-75.365794 40.093879),,,
37,HlthDirect Institutional Pharm Srvcs,1901 Dailey Ave,,,Latrobe,Pennsylvania,15650,Westmoreland,,,POINT (-79.373138 40.309292),,,
38,Bushy Run Pharmacy Inc,2106 Route 130,,,Harrison City,Pennsylvania,15636,Westmoreland,2670,4/13/2021,POINT (-79.648483 40.353617),,,
39,Walgreens Store # 11074,2235 Baltimore Pike,,,Oxford,Pennsylvania,19363,Chester,,,POINT (-75.987345 39.769746),,,
40,RITE AID STORE #01320,640 MONTGOMERY AVENUE,,,NARBERTH,Pennsylvania,19072,Montgomery,,,POINT (-75.254365 40.009294),,,
41,AHOLD USA-GIANT PHARMACY-6083,539 N OAK AVENUE,,,ALDAN,PA,19018,Delaware,,,POINT (-75.305801 39.932791),,,
42,RITE AID STORE #11063,228 MAIN STREET,,,Stroudsburg,Pennsylvania,18360,Monroe,,,POINT (-75.188213 40.989463),,,
43,Vista Pharmacy LLC,938 N 8th,,,Reading,Pennsylvania,19604,Berks,,,POINT (-75.920328 40.349859),,,
44,M Nazeeri MD PC,1023 Poplar Street,,,Lebanon,Pennsylvania,17042,Lebanon,200,4/13/2021,POINT (-76.426967 40.330669),,,
45,Walmart Store #2145,2601 MACARTHUR RD RELOCATION,,,WHITEHALL,Pennsylvania,18052,Lehigh,,,POINT (-75.492227 40.644372),,,
46,Long Lane Discount Pharmacy,434 LONG LANE,,,Upper Darby,Pennsylvania,19082,Delaware,,,POINT (-75.261615 39.949687),,,
47,Weis Pharmacy-197,65 Meadow Green Drive,,,Mifflinburg,PA,17844,Union,,,POINT (-77.031311 40.924542),,,
48,Giant Eagle Pharmacy-10,8901 Rt. 30 N. Huntingdon Sq,,,North Huntingdon,Pennsylvania,15642,Westmoreland,,,,,,
49,CVS/pharmacy16635,200 Mill Road,,,Phoenixville,PA,194601434,Chester,,,POINT (-75.452184 40.130659),,,
50,UPMC Passavant Cranberry,1 St Francis Way,,,Cranberry Twp,Pennsylvania,16066,Butler,1170,4/13/2021,,,,
51,GIANT PHARMACY-6453,330 MARKETPLACE BOULEVARD,,,SELINSGROVE,PA,17870,Snyder,,,POINT (-76.834846 40.841273),,,
52,CVS/pharmacy04085,6100 Penn Ave.,,,Pittsburgh,Pennsylvania,15206,Allegheny,,,POINT (-79.923537 40.460989),,,
53,GIANT PHARMACY-6427,315 N YORK ROAD,,,Willow Grove,Pennsylvania,19090,Montgomery,,,POINT (-75.115844 40.146541),,,
54,Giant Eagle Pharmacy-482,7 Cottonwood Street,,,Northern Cambria,Pennsylvania,15714,Cambria,,,POINT (-78.783068 40.661124),,,
55,GIANT PHARMACY-6314,216 EAST FAIRMOUNT ST,,,COOPERSBURG,PA,18036,Lehigh,,,POINT (-75.38429 40.51594),,,
56,Erie County Health Department,606 West 2nd Street,,,Erie,Pennsylvania,16507,Erie,1170,4/13/2021,POINT (-80.101478 42.128291),,,
57,UPMC-Shadyside,5230 Centre Avenue,,,Pittsburgh,Pennsylvania,15232,Allegheny,2340,4/13/2021,POINT (-79.94113 40.45514),,,
58,RITE AID STORE #01355,504 MARION LANE,,,Brodheadsville,Pennsylvania,18322,Monroe,,,POINT (-75.399825 40.924358),,,
59,AHOLD USA-GIANT PHARMACY 6448,180 UPLAND SQ DR,,,STOWE,PA,19464,Montgomery,,,POINT (-75.65366 40.267867),,,
60,Giant Eagle Pharmacy #2445,419 South Main Street,,,Greenville,Pennsylvania,16125,Mercer,,,POINT (-80.371204 41.41001),,,
61,Walmart Store #2945,100 COMMONS DR,,,PARKESBURG,Pennsylvania,19365,Chester,,,POINT (-75.935032 39.981952),,,
62,Hazle Drugs,1 East Broad Street,,,Hazleton,Pennsylvania,18201,Luzerne,300,4/13/2021,POINT (-75.973781 40.954007),,,
63,RITE AID STORE #04284,3601 WALNUT STREET,,,HARRISBURG,Pennsylvania,17109,Dauphin,,,POINT (-76.836931 40.288332),,,
64,Astis South Hills Pharmacy LTC,250 Mt. Lebanon Blvd,Ste. A1,,Pittsburgh,Pennsylvania,15234,Allegheny,,,POINT (-80.03749 40.368461),,,
65,WAYNE MEMORIAL HOSPITAL,601 Park Street,,,Honesdale,Pennsylvania,18431,Wayne,1670,4/13/2021,POINT (-75.259796 41.576284),,,
66,Walgreens Store # 9043,1701 William Flynn Hwy.,,,Glenshaw,Pennsylvania,15116,Allegheny,,,POINT (-79.962583 40.53878),,,
67,AHOLD USA-GIANT PHARMACY 6043,1880 LEITHSVILLE RD,,,HELLERTOWN,PA,18055,Northampton,,,POINT (-75.339414 40.562858),,,
68,Smart Choice Pharmacy,1941 Street rd,,,Bensalem,Pennsylvania,19020,Bucks,,,POINT (-74.945723 40.096975),,,
69,Newhard Pharmacy,1001 Main Street,,,Northampton,Pennsylvania,18067,Northampton,,,POINT (-75.4889 40.679147),,,
70,Weis Pharmacy-36,1100 North 4th Street,,,Sunbury,Pennsylvania,17801,Northumberland,,,POINT (-76.784799 40.873019),,,
71,CVS/pharmacy01596,140 East Chestnut Street,,,Mifflinburg,Pennsylvania,17844,Union,,,POINT (-77.033674 40.922513),,,
72,RITE AID STORE #00561,2968 ELMIRA STREET,,,SAYRE,Pennsylvania,18840,Bradford,,,POINT (-76.546886 41.988951),,,
73,GIANT PHARMACY-6317,967 S TOWNSHIP LINE RD,,,ROYERSFORD,PA,19468,Montgomery,,,POINT (-75.528951 40.193476),,,
74,Wilkes Barre Municipal Health Department,Kirby Health Center,,71 North Franklin Street,Wilkes Barre,Pennsylvania,18701,Luzerne,600,4/13/2021,,,,
75,Bensalem Pharmacy,2112 Street Road,,,Bensalem,Pennsylvania,19020,Bucks,200,4/13/2021,POINT (-74.947868 40.099555),,,
76,PharMerica WB,153 Stewart Rd,,,Wilkes Barre,Pennsylvania,18706,Luzerne,,,POINT (-75.921518 41.21495),,,
77,RITE AID STORE #10934,2336 ARDMORE BOULEVARD,,,PITTSBURGH,Pennsylvania,15221,Allegheny,,,POINT (-79.848243 40.416689),,,
78,CVS/pharmacy02000,"3601 Chichester Rd, Suite 105",,,Boothwyn,Pennsylvania,19061,Delaware,,,,,,
79,Holly Pharmacy,31 N. Baltimore Avenue,,,Mount Holly Springs,Pennsylvania,17065,Cumberland,2070,4/13/2021,POINT (-77.189181 40.11534),,,
80,Walgreens Store # 9676,99 Jefferson Ave.,,,Washington,Pennsylvania,15301,Washington,,,POINT (-80.251761 40.171249),,,
81,Giant Eagle Pharmacy-495,289 State Route 288,,,Ellwood City,Pennsylvania,16117,Lawrence,,,POINT (-80.258265 40.846381),,,
82,GIANT PHARMACY-6539,5005 JONESTOWN RD,,,Harrisburg,Pennsylvania,17112,Dauphin,,,POINT (-76.805215 40.306833),,,
83,Keystone Community Health Services,111 Chambers Hill Drive,Suite 102,,Chambersburg,Pennsylvania,17201,Franklin,300,4/13/2021,,,,
84,The Hometown Pharmacy-Grove City,49 Pine Grove Sq,,,Grove City,Pennsylvania,16127,Mercer,600,4/13/2021,POINT (-80.111412 41.167134),,,
85,Weis Pharmacy-132,3369 Route 100,,,Macungie,PA,18062,Lehigh,,,POINT (-75.563144 40.518631),,,
86,CVS/pharmacy17564,455 Carnegie Blvd,,,Malvern,PA,193558599,Chester,,,POINT (-75.520945 40.047968),,,
87,CVS/pharmacy05090,551 Harrisburg Ave,,,Lancaster,Pennsylvania,17604,Lancaster,,,POINT (-76.317907 40.049989),,,
88,The Hometown Pharmacy-Harmony,3 Northgate Pl,2,Route 19 N,Harmony,Pennsylvania,16037,Butler,,,POINT (-80.137185 40.802892),,,
89,CVS/pharmacy04152,5600 Wilkens Ave,,,Pittsburgh,Pennsylvania,15217,Allegheny,,,POINT (-79.927649 40.444057),,,
90,CVS/pharmacy01637,205 South Market Street,,,Millersburg,Pennsylvania,17061,Dauphin,,,POINT (-76.961733 40.534184),,,
91,Sams Club Store #6460,2500 PLANK ROAD COMMONS,,,ALTOONA,Pennsylvania,16602,Blair,,,,,,
92,RITE AID STORE #00205,26 WEST INDEPENDENCE STREET,,,SHAMOKIN,Pennsylvania,17872,Northumberland,,,POINT (-76.557588 40.790891),,,
93,RITE AID STORE #11030,577 SOUTH MAIN STREET,,,SHREWSBURY,Pennsylvania,17361,York,,,POINT (-76.677526 39.753211),,,
94,Giant Eagle Pharmacy-4093,2501 West 12th St.,,,Erie,Pennsylvania,16505,Erie,,,POINT (-80.137229 42.102887),,,
95,Weis Pharmacy-151,Rte 209 & E. Weir Lake Road,,,Brodheadsville,PA,18322,Monroe,,,POINT (-75.421756 40.916835),,,
96,CVS/pharmacy17379,1200 Baltimore Pike,,,Springfield,PA,190642701,Delaware,,,POINT (-75.349462 39.913567),,,
97,RITE AID STORE #11012,3331 PLEASANT VALLEY BLVD.,,,ALTOONA,Pennsylvania,16602,Blair,,,POINT (-78.401391 40.48278),,,
98,Anderson Pharmacy,334 Main Street,,,Denver,Pennsylvania,17517,Lancaster,,,POINT (-76.136135 40.232114),,,
99,RITE AID STORE #01494,1120 PHILADELPHIA AVENUE,,,NORTHERN CAMBRIA,Pennsylvania,15714,Cambria,,,POINT (-78.78155 40.663348),,,
100,RITE AID STORE #10994,135 SOUTH MARKET STREET,,,NEW WILMINGTON,Pennsylvania,16142,Lawrence,,,POINT (-80.333109 41.121605),,,
101,RITE AID STORE #11037,760 BROAD STREET,,,MONTOURSVILLE,Pennsylvania,17754,Lycoming,,,POINT (-76.915511 41.248163),,,
102,Norland Avenue Pharmacy,12 St. Paul Drive,105,,Chambersburg,Pennsylvania,17201,Franklin,1570,4/13/2021,POINT (-77.634763 39.943292),,,
103,RITE AID STORE #11158,160 NORTH GULPH ROAD STE1088,,,KING OF PRUSSIA,Pennsylvania,19406,Montgomery,,,POINT (-75.391771 40.085626),,,
104,CVS Pharmacy # 4037,221-223 E. Market Street,,,Harrisburg,Pennsylvania,17101,Dauphin,,,POINT (-76.880976 40.26052),,,
105,RITE AID STORE #01426,1650 MAIN STREET,,,OLYPHANT,Pennsylvania,18447,Lackawanna,,,POINT (-75.607844 41.471113),,,
106,CVS Pharmacy #2479,409 Harleysville Pike,,,Souderton,Pennsylvania,18964,Montgomery,,,POINT (-75.354288 40.311017),,,
107,CVS/pharmacy02459,305 West Fourth Street,,,Bethlehem,Pennsylvania,18015,Northampton,,,POINT (-75.382718 40.610352),,,
108,Whitehall Medical Associates,525 5th Street,,,Whitehall,Pennsylvania,18052,Lehigh,700,4/13/2021,POINT (-75.472478 40.628873),,,
109,Walmart Store #3281,5741 BUFFALO RD,,,HARBORCREEK,Pennsylvania,16421,Erie,,,POINT (-79.968093 42.159511),,,
110,Walmart Store #1684,72 BEDFORD SQ,,,EVERETT,Pennsylvania,15537,Bedford,,,POINT (-78.448923 40.023916),,,
111,Weis Pharmacy-133,2600 Willow St. Pike N,,,Willow Street,Pennsylvania,17584,Lancaster,,,POINT (-76.27983 39.984716),,,
112,RITE AID STORE #11115,547 WEST TRENTON AVENUE,,,Morrisville,Pennsylvania,19067,Bucks,,,POINT (-74.79419 40.211306),,,
113,Giant Eagle Pharmacy-65,4110 Brighton Rd.,,,Pittsburgh,Pennsylvania,15212,Allegheny,,,POINT (-80.044225 40.489746),,,
114,Community Pharmacy,1256 Pennsylvania Ave,,,Tyrone,Pennsylvania,16686,Blair,500,4/13/2021,POINT (-78.237087 40.673369),,,
115,Giant Eagle Pharmacy-60,4010 Monroeville Boulevard,,,Monroeville,Pennsylvania,15146,Allegheny,,,POINT (-79.771947 40.435921),,,
116,RITE AID STORE #10996,64 NORTH MERCER AVE.,,,SHARPSVILLE,Pennsylvania,16150,Mercer,,,POINT (-80.474996 41.265733),,,
117,Sav-On Pharmacy-Avondale,851 Gap Newport Pike,,,Avondale,Pennsylvania,19311,Chester,,,POINT (-75.795146 39.835147),,,
118,WILSONS PHARMACY,4101 PENN AVE,,,Pittsburgh,Pennsylvania,15224,Allegheny,1000,4/13/2021,POINT (-79.955101 40.46569),,,
119,Walgreens Store # 10345,7628 Penn Ave.,,,Pittsburgh,Pennsylvania,15221,Allegheny,,,POINT (-79.894857 40.447032),,,
120,ICP Inc.,175 Canal St.,,,Sharpsville,Pennsylvania,16150,Mercer,,,POINT (-80.471518 41.269375),,,
121,CVS/pharmacy03189,510 Brookline Boulevard,,,Pittsburgh,Pennsylvania,15226,Allegheny,,,POINT (-80.023428 40.396158),,,
122,Weis Pharmacy-63,441 W. Main Street,,,Mount Joy,PA,17552,Lancaster,,,POINT (-76.515231 40.112701),,,
123,Giant Eagle Pharmacy-71,181 Sophira Lane,,,Altoona,Pennsylvania,16602,Blair,,,POINT (-78.387281 40.485204),,,
124,Giant Eagle Pharmacy-2491,400 Northtowne Square,,,Gibsonia,Pennsylvania,15044,Allegheny,,,POINT (-79.940261 40.635901),,,
125,Sav-On Pharmacy #721,785 Starr St,,,Phoenixville,Pennsylvania,19460,Chester,,,POINT (-75.508901 40.123245),,,
126,VDI-Ferri Pharmacy,3907 Old William Penn Hwy,,,Murrysville,Pennsylvania,15668,Westmoreland,,,POINT (-79.697239 40.428342),,,
127,The Washington Hospital,155 Wilson Ave,,,Washington,Pennsylvania,15301,Washington,2340,4/13/2021,POINT (-80.247471 40.183244),,,
128,Giant Eagle Pharmacy-61,2021 Wharton Ave.,,,Pittsburgh,Pennsylvania,15203,Allegheny,,,POINT (-79.977315 40.430371),,,
129,GIANT PHARMACY-6121,50 BRIAR CREEK PLAZA,,,BERWICK,PA,18603,Columbia,,,POINT (-76.274657 41.047728),,,
130,Walgreens Store # 11560,949 Lincoln Way E.,,,Chambersburg,Pennsylvania,17201,Franklin,,,POINT (-77.6438 39.931589),,,
131,VDI-McLaughlins Drug Store,182 Buchanan Trl,150,,Mc Connellsburg,Pennsylvania,17233,Fulton,,,POINT (-77.988223 39.928144),,,
132,RITE AID STORE #03610,1786-I COLUMBIA AVENUE,,,COLUMBIA,Pennsylvania,17512,Lancaster,,,POINT (-76.475514 40.031854),,,
133,Sams Club Store #8191,441 WILKES BARRE TOWNSHIP BLVD,,,WILKES BARRE,Pennsylvania,18702,Luzerne,,,POINT (-75.863866 41.236003),,,
134,CVS/pharmacy05710,285 St Rt #288,,,Ellwood City,Pennsylvania,16117,Lawrence,,,POINT (-80.258784 40.846367),,,
135,RITE AID STORE #00740,8878 CLEARFIELD CURWENSVILLE,,,CLEARFIELD,Pennsylvania,16830,Clearfield,,,POINT (-78.475398 40.989226),,,
136,GIANT PHARMACY-6061,397 BALTIMORE RD,,,Shippensburg,Pennsylvania,17257,Cumberland,,,POINT (-77.502792 40.047125),,,
137,VDI-DePietros Pharmacy,617 3rd Street,,,Dunmore,Pennsylvania,18512,Lackawanna,200,4/13/2021,POINT (-75.634095 41.415683),,,
138,Highlnds Hlth Laurel Highlnds Free Cha,"315 Locust St, 2nd Floor",,,Johnstown,Pennsylvania,15901,Cambria,400,4/13/2021,POINT (-78.920587 40.327188),,,
139,RITE AID STORE #01371,102 NORTH MAIN STREET,,,PITTSTON,Pennsylvania,18640,Luzerne,,,POINT (-75.789382 41.324965),,,
140,RITE AID STORE #11155,1249 WEST CHESTER PIKE,,,WEST CHESTER,Pennsylvania,19382,Chester,,,POINT (-75.556155 39.968044),,,
141,ShopRite Pharmacy #439,942 West Street Road,,,Warminster,PA,18974,Bucks,,,POINT (-75.107549 40.211168),,,
142,CVS/pharmacy17462,912 Airport Center Dr,,,Allentown,PA,181099385,Lehigh,,,POINT (-75.438893 40.638349),,,
143,CVS/pharmacy05743,29 West 21st  Street,,,Northampton,Pennsylvania,18067,Northampton,,,POINT (-75.501298 40.690477),,,
144,CVS/pharmacy06043,302 W. Bridge St.,,,New Hope,Pennsylvania,18938,Bucks,,,POINT (-74.965597 40.363256),,,
145,Alberts Pharmacy,201 S. Main Street,,,Pittston,Pennsylvania,18640,Luzerne,,,POINT (-75.79384 41.318462),,,
146,Giant Eagle Pharmacy-2492,51 Walsh Road,,,Pittsburgh,Pennsylvania,15205,Allegheny,,,POINT (-80.070881 40.439901),,,
147,Walmart Store #5888,3400 Hartzdale Dr,,,Camp Hill,Pennsylvania,17011,Cumberland,,,POINT (-76.925736 40.224847),,,
148,Walgreens Store # 7425,890 W. Main St.,,,Lansdale,Pennsylvania,19446,Montgomery,,,POINT (-75.294706 40.248128),,,
149,RITE AID STORE #11101,705 W LANCASTER AVENUE,,,BRYN MAWR,Pennsylvania,19010,Delaware,,,POINT (-75.313972 40.019339),,,
150,CVS/pharmacy00675,159 N MacDade Blvd,,,Glenolden,Pennsylvania,19036,Delaware,,,POINT (-75.286956 39.907414),,,
151,RITE AID STORE #10979,1501 SCALP AVENUE,,,JOHNSTOWN,Pennsylvania,15904,Cambria,,,POINT (-78.856837 40.269209),,,
152,Walgreens Store # 9281,5956 Penn Cir. S. # 1,,,Pittsburgh,Pennsylvania,15206,Allegheny,,,POINT (-79.926684 40.45946),,,
153,Weis Pharmacy-58,5140 Simpson Ferry Rd,,,Mechanicsburg,Pennsylvania,17050,Cumberland,,,POINT (-76.975491 40.218958),,,
154,RITE AID STORE #11055,1650 NORTH CEDAR CREST BLVD.,,,ALLENTOWN,Pennsylvania,18104,Lehigh,,,POINT (-75.533683 40.614552),,,
155,Sav-On Pharmacy-Glen Mills,101 Byers Drive,,,Glen Mills,Pennsylvania,19342,Delaware,,,POINT (-75.52784 39.883758),,,
156,Weis Pharmacy-182,5020 Route 873,,,Schnecksville,PA,18078,Lehigh,,,POINT (-75.613976 40.677148),,,
157,Weis Pharmacy-191,5360 Lincoln Hwy,,,Gap,Pennsylvania,17527,Lancaster,,,POINT (-76.017773 39.991633),,,
158,RITE AID STORE #03449,335 MAIN STREET,,,GREENVILLE,Pennsylvania,16125,Mercer,,,POINT (-80.379514 41.408146),,,
159,RITE AID STORE #01975,4810 PENN AVENUE,,,SINKING SPRINGS,Pennsylvania,19608,Berks,,,POINT (-76.049423 40.326863),,,
160,CVS/pharmacy16601,360 Waterfront Dr E,,,Homestead,PA,151205004,Allegheny,,,POINT (-79.911865 40.411881),,,
161,CVS Pharmacy # 1608,220 Main Street,,,Watsontown,Pennsylvania,17777,Northumberland,,,POINT (-76.862305 41.083143),,,
162,Sams Club Store #6677,3621 WILLIAM PENN HWY,,,MONROEVILLE,Pennsylvania,15146,Allegheny,,,POINT (-79.799399 40.432926),,,
163,Sheehans Pharmacy,79 E. Carey Street,,,Plains,Pennsylvania,18705,Luzerne,,,POINT (-75.847328 41.274402),,,
164,Sams Club Store #8175,6781 GRAYSON RD,,,HARRISBURG,Pennsylvania,17111,Dauphin,,,POINT (-76.770825 40.262506),,,
165,Mainline Pharmacy-Hastings,317 Beaver St.,,,Hastings,Pennsylvania,16646,Cambria,1870,4/13/2021,POINT (-78.712152 40.665551),,,
166,AFC Urgent Care Cheltenham,2401 W Cheltenham Ave,,,Wyncote,Pennsylvania,19095,Montgomery,500,4/13/2021,POINT (-75.157147 40.073482),,,
167,Trilogy Mission Rx LLC dba PCA Pbg,307 23rd Street Extension,164,,SHARPSBURG,Pennsylvania,15215,Allegheny,,,POINT (-79.910239 40.495161),,,
168,Giant Eagle Pharmacy-6301,100 Buffalo Plaza,,,Sarver,Pennsylvania,16055,Butler,,,POINT (-79.725817 40.706481),,,
169,Penn State Health Cmty Vax Site-Berks,2400 Bernville Road,,,Reading,Pennsylvania,19605,Berks,1400,4/13/2021,POINT (-75.970548 40.374401),,,
170,Giant Eagle Pharmacy-4008,223 Grove City Rd.,,,Slippery Rock,Pennsylvania,16057,Butler,,,POINT (-80.051839 41.070254),,,
171,VDI-First National Pharmacy,143 N First Street,,,Lehighton,Pennsylvania,18235,Carbon,,,POINT (-75.708872 40.835285),,,
172,Sav-On Pharmacy #769,323 Old York Rd,,,Jenkintown,Pennsylvania,19046,Montgomery,,,POINT (-75.126544 40.089983),,,
173,Primecare Pharmacy Services Inc,310 adams Avenue,,,Scranton,Pennsylvania,18503,Lackawanna,,,POINT (-75.660694 41.408576),,,
174,Horsham Square Pharmacy,575 Horsham Road,,Unit C20,Horsham,Pennsylvania,19044,Montgomery,,,POINT (-75.146415 40.188588),,,
175,CVS/pharmacy01654,1700 N. George St,,,York,Pennsylvania,17404,York,,,POINT (-76.735242 39.984408),,,
176,Weis Pharmacy-187,170 Buckaroo Lane,,,Bellefonte,PA,16823,Centre,,,POINT (-77.73781 40.913508),,,
177,RITE AID STORE #04965,201 GRACE STREET,,,PITTSBURGH,Pennsylvania,15211,Allegheny,,,,,,
178,Walmart Store #2205,1800 LOUCKS RD STE 100,,,YORK,Pennsylvania,17408,York,,,POINT (-76.773479 39.973457),,,
179,Walmart Store #1607,10180 US HIGHWAY 522 S,,,LEWISTOWN,Pennsylvania,17044,Mifflin,,,POINT (-77.613201 40.582887),,,
180,Walgreens Store # 9942,2646 Darlington Rd.,,,Beaver Falls,Pennsylvania,15010,Beaver,,,POINT (-80.380868 40.775376),,,
181,Wellspan Surgical and Rehab Hospital,55 Monument Rd,,,York,Pennsylvania,17403,York,2340,4/13/2021,POINT (-76.716898 39.923277),,,
182,CVS/pharmacy07670,620 Old Philadelphia Rd.,,,Easton,Pennsylvania,18042,Northampton,,,POINT (-75.210564 40.677799),,,
183,CVS/pharmacy04039,300 8th Street,,,Ambridge,Pennsylvania,15003,Beaver,,,POINT (-80.228284 40.589132),,,
184,Sams Club Store #6575,249 SUMMIT PARK DR,,,PITTSBURGH,Pennsylvania,15275,Allegheny,,,POINT (-80.176257 40.449701),,,
185,Walmart Store #1644,120 AJK BLVD,,,LEWISBURG,Pennsylvania,17837,Union,,,POINT (-76.879841 40.989527),,,
186,RITE AID STORE #10904,4960 WILLIAM FLYNN HWY STE 10,,,ALLISON PARK,Pennsylvania,15101,Allegheny,,,POINT (-79.947174 40.60223),,,
187,MARTINS PHARMACY-6325,22 HOOVER AVENUE,SUITE 130,,DUBOIS,PA,15801,Clearfield,,,POINT (-78.756212 41.120936),,,
