Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
U.S. Virgin Islands,06/14/2021,"1,360","1,360"
Delaware,06/14/2021,"10,940","10,940"
District of Columbia,06/14/2021,"8,320","8,320"
Maryland,06/14/2021,"68,000","68,000"
Pennsylvania,06/14/2021,"129,600","129,600"
Philadelphia,06/14/2021,"18,040","18,040"
Virginia,06/14/2021,"95,480","95,480"
West Virginia,06/14/2021,"21,360","21,360"
Alabama,06/14/2021,"54,960","54,960"
Florida,06/14/2021,"239,560","239,560"
Georgia,06/14/2021,"113,660","113,660"
Kentucky,06/14/2021,"49,960","49,960"
Mississippi,06/14/2021,"33,140","33,140"
North Carolina,06/14/2021,"114,640","114,640"
South Carolina,06/14/2021,"56,320","56,320"
Tennessee,06/14/2021,"75,060","75,060"
Chicago,06/14/2021,"30,520","30,520"
Illinois,06/14/2021,"113,660","113,660"
Indiana,06/14/2021,"73,840","73,840"
Michigan,06/14/2021,"113,100","113,100"
Minnesota,06/14/2021,"62,020","62,020"
Ohio,06/14/2021,"131,560","131,560"
Wisconsin,06/14/2021,"65,900","65,900"
Arkansas,06/14/2021,"33,420","33,420"
Louisiana,06/14/2021,"51,880","51,880"
New Mexico,06/14/2021,"23,700","23,700"
Oklahoma,06/14/2021,"43,280","43,280"
Texas,06/14/2021,"300,040","300,040"
Iowa,06/14/2021,"35,100","35,100"
Kansas,06/14/2021,"32,060","32,060"
Missouri,06/14/2021,"68,560","68,560"
Nebraska,06/14/2021,"21,220","21,220"
Colorado,06/14/2021,"62,300","62,300"
Montana,06/14/2021,"12,060","12,060"
North Dakota,06/14/2021,"8,600","8,600"
South Dakota,06/14/2021,"9,680","9,680"
Utah,06/14/2021,"31,220","31,220"
Wyoming,06/14/2021,"6,640","6,640"
Arizona,06/14/2021,"77,860","77,860"
California,06/14/2021,"438,000","438,000"
Hawaii,06/14/2021,"16,360","16,360"
Nevada,06/14/2021,"32,860","32,860"
American Samoa,06/14/2021,0,0
Guam,06/14/2021,0,0
Marshall Islands,06/14/2021,0,0
Micronesia,06/14/2021,0,0
Mariana Islands,06/14/2021,0,0
Palau,06/14/2021,0,0
Alaska,06/14/2021,"12,060","12,060"
Idaho,06/14/2021,"18,320","18,320"
Oregon,06/14/2021,"47,160","47,160"
Washington,06/14/2021,"83,520","83,520"
Federal Entities,06/14/2021,"164,800","164,800"
Connecticut,06/07/2021,"41,220","41,220"
Maine,06/07/2021,"15,800","15,800"
Massachusetts,06/07/2021,"79,500","79,500"
New Hampshire,06/07/2021,"15,800","15,800"
Rhode Island,06/07/2021,"12,480","12,480"
Vermont,06/07/2021,"7,480","7,480"
New Jersey,06/07/2021,"100,620","100,620"
New York,06/07/2021,"128,240","128,240"
New York City,06/07/2021,"97,400","97,400"
Puerto Rico,06/07/2021,"39,400","39,400"
U.S. Virgin Islands,06/07/2021,"1,360","1,360"
Delaware,06/07/2021,"10,940","10,940"
District of Columbia,06/07/2021,"8,320","8,320"
Maryland,06/07/2021,"68,000","68,000"
Pennsylvania,06/07/2021,"129,600","129,600"
Philadelphia,06/07/2021,"18,040","18,040"
Virginia,06/07/2021,"95,480","95,480"
West Virginia,06/07/2021,"21,360","21,360"
Alabama,06/07/2021,"54,960","54,960"
Florida,06/07/2021,"239,560","239,560"
Georgia,06/07/2021,"113,660","113,660"
Kentucky,06/07/2021,"49,960","49,960"
Mississippi,06/07/2021,"33,140","33,140"
North Carolina,06/07/2021,"114,640","114,640"
South Carolina,06/07/2021,"56,320","56,320"
Tennessee,06/07/2021,"75,060","75,060"
Chicago,06/07/2021,"30,520","30,520"
Illinois,06/07/2021,"113,660","113,660"
Indiana,06/07/2021,"73,840","73,840"
Michigan,06/07/2021,"113,100","113,100"
Minnesota,06/07/2021,"62,020","62,020"
Ohio,06/07/2021,"131,560","131,560"
Wisconsin,06/07/2021,"65,900","65,900"
Arkansas,06/07/2021,"33,420","33,420"
Louisiana,06/07/2021,"51,880","51,880"
New Mexico,06/07/2021,"23,700","23,700"
Oklahoma,06/07/2021,"43,280","43,280"
Texas,06/07/2021,"300,040","300,040"
Iowa,06/07/2021,"35,100","35,100"
Kansas,06/07/2021,"32,060","32,060"
Missouri,06/07/2021,"68,560","68,560"
Nebraska,06/07/2021,"21,220","21,220"
Colorado,06/07/2021,"62,300","62,300"
Montana,06/07/2021,"12,060","12,060"
North Dakota,06/07/2021,"8,600","8,600"
South Dakota,06/07/2021,"9,680","9,680"
Utah,06/07/2021,"31,220","31,220"
Wyoming,06/07/2021,"6,640","6,640"
Arizona,06/07/2021,"77,860","77,860"
California,06/07/2021,"438,000","438,000"
Hawaii,06/07/2021,"16,360","16,360"
Nevada,06/07/2021,"32,860","32,860"
American Samoa,06/07/2021,0,0
Guam,06/07/2021,0,0
Marshall Islands,06/07/2021,0,0
Micronesia,06/07/2021,0,0
Mariana Islands,06/07/2021,0,0
Palau,06/07/2021,0,0
Alaska,06/07/2021,"12,060","12,060"
Idaho,06/07/2021,"18,320","18,320"
Oregon,06/07/2021,"47,160","47,160"
Washington,06/07/2021,"83,520","83,520"
Federal Entities,06/07/2021,"161,000","161,000"
Connecticut,05/31/2021,"40,320","40,320"
Maine,05/31/2021,"15,400","15,400"
Massachusetts,05/31/2021,"77,700","77,700"
New Hampshire,05/31/2021,"15,400","15,400"
Rhode Island,05/31/2021,"12,180","12,180"
Vermont,05/31/2021,"7,280","7,280"
New Jersey,05/31/2021,"98,420","98,420"
New York,05/31/2021,"125,440","125,440"
New York City,05/31/2021,"95,200","95,200"
Puerto Rico,05/31/2021,"38,500","38,500"
U.S. Virgin Islands,05/31/2021,"1,260","1,260"
Delaware,05/31/2021,"10,640","10,640"
District of Columbia,05/31/2021,"8,120","8,120"
Maryland,05/31/2021,"66,500","66,500"
Pennsylvania,05/31/2021,"126,700","126,700"
Philadelphia,05/31/2021,"17,640","17,640"
Virginia,05/31/2021,"93,380","93,380"
West Virginia,05/31/2021,"20,860","20,860"
Alabama,05/31/2021,"53,760","53,760"
Florida,05/31/2021,"234,360","234,360"
Georgia,05/31/2021,"111,160","111,160"
Kentucky,05/31/2021,"48,860","48,860"
Mississippi,05/31/2021,"32,340","32,340"
North Carolina,05/31/2021,"112,140","112,140"
South Carolina,05/31/2021,"55,020","55,020"
Tennessee,05/31/2021,"73,360","73,360"
Chicago,05/31/2021,"29,820","29,820"
Illinois,05/31/2021,"111,160","111,160"
Indiana,05/31/2021,"72,240","72,240"
Michigan,05/31/2021,"110,600","110,600"
Minnesota,05/31/2021,"60,620","60,620"
Ohio,05/31/2021,"128,660","128,660"
Wisconsin,05/31/2021,"64,400","64,400"
Arkansas,05/31/2021,"32,620","32,620"
Louisiana,05/31/2021,"50,680","50,680"
New Mexico,05/31/2021,"23,100","23,100"
Oklahoma,05/31/2021,"42,280","42,280"
Texas,05/31/2021,"293,440","293,440"
Iowa,05/31/2021,"34,300","34,300"
Kansas,05/31/2021,"31,360","31,360"
Missouri,05/31/2021,"67,060","67,060"
Nebraska,05/31/2021,"20,720","20,720"
Colorado,05/31/2021,"60,900","60,900"
Montana,05/31/2021,"11,760","11,760"
North Dakota,05/31/2021,"8,400","8,400"
South Dakota,05/31/2021,"9,380","9,380"
Utah,05/31/2021,"30,520","30,520"
Wyoming,05/31/2021,"6,440","6,440"
Arizona,05/31/2021,"76,160","76,160"
California,05/31/2021,"428,400","428,400"
Hawaii,05/31/2021,"15,960","15,960"
Nevada,05/31/2021,"32,060","32,060"
American Samoa,05/31/2021,0,0
Guam,05/31/2021,0,0
Marshall Islands,05/31/2021,0,0
Micronesia,05/31/2021,0,0
Mariana Islands,05/31/2021,0,0
Palau,05/31/2021,0,0
Alaska,05/31/2021,"11,760","11,760"
Idaho,05/31/2021,"17,920","17,920"
Oregon,05/31/2021,"46,060","46,060"
Washington,05/31/2021,"81,620","81,620"
Federal Entities,05/31/2021,"164,800","164,800"
Connecticut,05/24/2021,"41,220","41,220"
Maine,05/24/2021,"15,800","15,800"
Massachusetts,05/24/2021,"79,500","79,500"
New Hampshire,05/24/2021,"15,800","15,800"
Rhode Island,05/24/2021,"12,480","12,480"
Vermont,05/24/2021,"7,480","7,480"
New Jersey,05/24/2021,"100,620","100,620"
New York,05/24/2021,"128,240","128,240"
New York City,05/24/2021,"97,400","97,400"
Puerto Rico,05/24/2021,"39,400","39,400"
U.S. Virgin Islands,05/24/2021,"1,360","1,360"
Delaware,05/24/2021,"10,940","10,940"
District of Columbia,05/24/2021,"8,320","8,320"
Maryland,05/24/2021,"68,000","68,000"
Pennsylvania,05/24/2021,"129,600","129,600"
Philadelphia,05/24/2021,"18,040","18,040"
Virginia,05/24/2021,"95,480","95,480"
West Virginia,05/24/2021,"21,360","21,360"
Alabama,05/24/2021,"54,960","54,960"
Florida,05/24/2021,"239,560","239,560"
Georgia,05/24/2021,"113,660","113,660"
Kentucky,05/24/2021,"49,960","49,960"
Mississippi,05/24/2021,"33,140","33,140"
North Carolina,05/24/2021,"114,640","114,640"
South Carolina,05/24/2021,"56,320","56,320"
Tennessee,05/24/2021,"75,060","75,060"
Chicago,05/24/2021,"30,520","30,520"
Illinois,05/24/2021,"113,660","113,660"
Indiana,05/24/2021,"73,840","73,840"
Michigan,05/24/2021,"113,100","113,100"
Minnesota,05/24/2021,"62,020","62,020"
Ohio,05/24/2021,"131,560","131,560"
Wisconsin,05/24/2021,"65,900","65,900"
Arkansas,05/24/2021,"33,420","33,420"
Louisiana,05/24/2021,"51,880","51,880"
New Mexico,05/24/2021,"23,700","23,700"
Oklahoma,05/24/2021,"43,280","43,280"
Texas,05/24/2021,"300,040","300,040"
Iowa,05/24/2021,"35,100","35,100"
Kansas,05/24/2021,"32,060","32,060"
Missouri,05/24/2021,"68,560","68,560"
Nebraska,05/24/2021,"21,220","21,220"
Colorado,05/24/2021,"62,300","62,300"
Montana,05/24/2021,"12,060","12,060"
North Dakota,05/24/2021,"8,600","8,600"
South Dakota,05/24/2021,"9,680","9,680"
Utah,05/24/2021,"31,220","31,220"
Wyoming,05/24/2021,"6,640","6,640"
Arizona,05/24/2021,"77,860","77,860"
California,05/24/2021,"438,000","438,000"
Hawaii,05/24/2021,"16,360","16,360"
Nevada,05/24/2021,"32,860","32,860"
American Samoa,05/24/2021,0,0
Guam,05/24/2021,0,0
Marshall Islands,05/24/2021,0,0
Micronesia,05/24/2021,0,0
Mariana Islands,05/24/2021,0,0
Palau,05/24/2021,0,0
Alaska,05/24/2021,"12,060","12,060"
Idaho,05/24/2021,"18,320","18,320"
Oregon,05/24/2021,"47,160","47,160"
Washington,05/24/2021,"83,520","83,520"
Federal Entities,05/24/2021,"164,800","164,800"
Connecticut,05/17/2021,"41,220","41,220"
Maine,05/17/2021,"15,800","15,800"
Massachusetts,05/17/2021,"79,500","79,500"
New Hampshire,05/17/2021,"15,800","15,800"
Rhode Island,05/17/2021,"12,480","12,480"
Vermont,05/17/2021,"7,480","7,480"
New Jersey,05/17/2021,"100,620","100,620"
New York,05/17/2021,"128,240","128,240"
New York City,05/17/2021,"97,400","97,400"
Puerto Rico,05/17/2021,"39,400","39,400"
U.S. Virgin Islands,05/17/2021,"1,360","1,360"
Delaware,05/17/2021,"10,940","10,940"
District of Columbia,05/17/2021,"8,320","8,320"
Maryland,05/17/2021,"68,000","68,000"
Pennsylvania,05/17/2021,"129,600","129,600"
Philadelphia,05/17/2021,"18,040","18,040"
Virginia,05/17/2021,"95,480","95,480"
West Virginia,05/17/2021,"21,360","21,360"
Alabama,05/17/2021,"54,960","54,960"
Florida,05/17/2021,"239,560","239,560"
Georgia,05/17/2021,"113,660","113,660"
Kentucky,05/17/2021,"49,960","49,960"
Mississippi,05/17/2021,"33,140","33,140"
North Carolina,05/17/2021,"114,640","114,640"
South Carolina,05/17/2021,"56,320","56,320"
Tennessee,05/17/2021,"75,060","75,060"
Chicago,05/17/2021,"30,520","30,520"
Illinois,05/17/2021,"113,660","113,660"
Indiana,05/17/2021,"73,840","73,840"
Michigan,05/17/2021,"113,100","113,100"
Minnesota,05/17/2021,"62,020","62,020"
Ohio,05/17/2021,"131,560","131,560"
Wisconsin,05/17/2021,"65,900","65,900"
Arkansas,05/17/2021,"33,420","33,420"
Louisiana,05/17/2021,"51,880","51,880"
New Mexico,05/17/2021,"23,700","23,700"
Oklahoma,05/17/2021,"43,280","43,280"
Texas,05/17/2021,"300,040","300,040"
Iowa,05/17/2021,"35,100","35,100"
Kansas,05/17/2021,"32,060","32,060"
Missouri,05/17/2021,"68,560","68,560"
Nebraska,05/17/2021,"21,220","21,220"
Colorado,05/17/2021,"62,300","62,300"
Montana,05/17/2021,"12,060","12,060"
North Dakota,05/17/2021,"8,600","8,600"
South Dakota,05/17/2021,"9,680","9,680"
Utah,05/17/2021,"31,220","31,220"
Wyoming,05/17/2021,"6,640","6,640"
Arizona,05/17/2021,"77,860","77,860"
California,05/17/2021,"438,000","438,000"
Hawaii,05/17/2021,"16,360","16,360"
Nevada,05/17/2021,"32,860","32,860"
American Samoa,05/17/2021,0,0
Guam,05/17/2021,0,0
Marshall Islands,05/17/2021,0,0
Micronesia,05/17/2021,0,0
Mariana Islands,05/17/2021,0,0
Palau,05/17/2021,0,0
Alaska,05/17/2021,"12,060","12,060"
Idaho,05/17/2021,"18,320","18,320"
Oregon,05/17/2021,"47,160","47,160"
Washington,05/17/2021,"83,520","83,520"
Federal Entities,05/17/2021,"164,900","164,900"
Connecticut,05/10/2021,"41,300","41,300"
Maine,05/10/2021,"15,800","15,800"
Massachusetts,05/10/2021,"79,500","79,500"
New Hampshire,05/10/2021,"15,900","15,900"
Rhode Island,05/10/2021,"12,400","12,400"
Vermont,05/10/2021,"7,500","7,500"
New Jersey,05/10/2021,"100,700","100,700"
New York,05/10/2021,"128,200","128,200"
New York City,05/10/2021,"97,400","97,400"
Puerto Rico,05/10/2021,"39,400","39,400"
U.S. Virgin Islands,05/10/2021,"1,300","1,300"
Delaware,05/10/2021,"11,000","11,000"
District of Columbia,05/10/2021,"8,300","8,300"
Maryland,05/10/2021,"68,000","68,000"
Pennsylvania,05/10/2021,"129,500","129,500"
Philadelphia,05/10/2021,"18,000","18,000"
Virginia,05/10/2021,"95,400","95,400"
West Virginia,05/10/2021,"21,300","21,300"
Alabama,05/10/2021,"54,900","54,900"
Florida,05/10/2021,"239,700","239,700"
Georgia,05/10/2021,"113,600","113,600"
Kentucky,05/10/2021,"50,000","50,000"
Mississippi,05/10/2021,"33,200","33,200"
North Carolina,05/10/2021,"114,600","114,600"
South Carolina,05/10/2021,"56,300","56,300"
Tennessee,05/10/2021,"75,100","75,100"
Chicago,05/10/2021,"30,600","30,600"
Illinois,05/10/2021,"113,800","113,800"
Indiana,05/10/2021,"73,800","73,800"
Michigan,05/10/2021,"113,100","113,100"
Minnesota,05/10/2021,"62,000","62,000"
Ohio,05/10/2021,"131,500","131,500"
Wisconsin,05/10/2021,"65,900","65,900"
Arkansas,05/10/2021,"33,400","33,400"
Louisiana,05/10/2021,"51,900","51,900"
New Mexico,05/10/2021,"23,700","23,700"
Oklahoma,05/10/2021,"43,200","43,200"
Texas,05/10/2021,"300,000","300,000"
Iowa,05/10/2021,"35,100","35,100"
Kansas,05/10/2021,"32,000","32,000"
Missouri,05/10/2021,"68,600","68,600"
Nebraska,05/10/2021,"21,200","21,200"
Colorado,05/10/2021,"62,300","62,300"
Montana,05/10/2021,"12,000","12,000"
North Dakota,05/10/2021,"8,700","8,700"
South Dakota,05/10/2021,"9,600","9,600"
Utah,05/10/2021,"31,200","31,200"
Wyoming,05/10/2021,"6,600","6,600"
Arizona,05/10/2021,"77,900","77,900"
California,05/10/2021,"438,100","438,100"
Hawaii,05/10/2021,"16,300","16,300"
Nevada,05/10/2021,"32,900","32,900"
American Samoa,05/10/2021,0,0
Guam,05/10/2021,0,0
Marshall Islands,05/10/2021,0,0
Micronesia,05/10/2021,0,0
Mariana Islands,05/10/2021,0,0
Palau,05/10/2021,0,0
Alaska,05/10/2021,"12,100","12,100"
Idaho,05/10/2021,"18,200","18,200"
Oregon,05/10/2021,"47,100","47,100"
Washington,05/10/2021,"83,600","83,600"
Federal Entities,05/10/2021,"161,100","161,100"
Connecticut,05/03/2021,"40,400","40,400"
Maine,05/03/2021,"15,400","15,400"
Massachusetts,05/03/2021,"77,700","77,700"
New Hampshire,05/03/2021,"15,500","15,500"
Rhode Island,05/03/2021,"12,100","12,100"
Vermont,05/03/2021,"7,300","7,300"
New Jersey,05/03/2021,"98,500","98,500"
New York,05/03/2021,"125,400","125,400"
New York City,05/03/2021,"95,200","95,200"
Puerto Rico,05/03/2021,"38,500","38,500"
U.S. Virgin Islands,05/03/2021,"1,200","1,200"
Delaware,05/03/2021,"10,700","10,700"
District of Columbia,05/03/2021,"8,100","8,100"
Maryland,05/03/2021,"66,500","66,500"
Pennsylvania,05/03/2021,"126,700","126,700"
Philadelphia,05/03/2021,"17,600","17,600"
Virginia,05/03/2021,"93,300","93,300"
West Virginia,05/03/2021,"20,800","20,800"
Alabama,05/03/2021,"53,700","53,700"
Florida,05/03/2021,"234,500","234,500"
Georgia,05/03/2021,"111,100","111,100"
Kentucky,05/03/2021,"48,900","48,900"
Mississippi,05/03/2021,"32,400","32,400"
North Carolina,05/03/2021,"112,100","112,100"
South Carolina,05/03/2021,"55,000","55,000"
Tennessee,05/03/2021,"73,400","73,400"
Chicago,05/03/2021,"29,900","29,900"
Illinois,05/03/2021,"111,300","111,300"
Indiana,05/03/2021,"72,200","72,200"
Michigan,05/03/2021,"110,600","110,600"
Minnesota,05/03/2021,"60,600","60,600"
Ohio,05/03/2021,"128,600","128,600"
Wisconsin,05/03/2021,"64,400","64,400"
Arkansas,05/03/2021,"32,600","32,600"
Louisiana,05/03/2021,"50,700","50,700"
New Mexico,05/03/2021,"23,100","23,100"
Oklahoma,05/03/2021,"42,200","42,200"
Texas,05/03/2021,"293,500","293,500"
Iowa,05/03/2021,"34,300","34,300"
Kansas,05/03/2021,"31,300","31,300"
Missouri,05/03/2021,"67,100","67,100"
Nebraska,05/03/2021,"20,700","20,700"
Colorado,05/03/2021,"60,900","60,900"
Montana,05/03/2021,"11,700","11,700"
North Dakota,05/03/2021,"8,500","8,500"
South Dakota,05/03/2021,"9,300","9,300"
Utah,05/03/2021,"30,500","30,500"
Wyoming,05/03/2021,"6,400","6,400"
Arizona,05/03/2021,"76,200","76,200"
California,05/03/2021,"428,600","428,600"
Hawaii,05/03/2021,"15,900","15,900"
Nevada,05/03/2021,"32,100","32,100"
American Samoa,05/03/2021,0,0
Guam,05/03/2021,0,0
Marshall Islands,05/03/2021,0,0
Micronesia,05/03/2021,0,0
Mariana Islands,05/03/2021,0,0
Palau,05/03/2021,0,0
Alaska,05/03/2021,"15,200","15,200"
Idaho,05/03/2021,"17,800","17,800"
Oregon,05/03/2021,"46,000","46,000"
Washington,05/03/2021,"81,700","81,700"
Federal Entities,05/03/2021,"161,100","161,100"
Connecticut,04/26/2021,"40,400","40,400"
Maine,04/26/2021,"15,400","15,400"
Massachusetts,04/26/2021,"77,700","77,700"
New Hampshire,04/26/2021,"15,500","15,500"
Rhode Island,04/26/2021,"12,100","12,100"
Vermont,04/26/2021,"7,300","7,300"
New Jersey,04/26/2021,"98,500","98,500"
New York,04/26/2021,"125,400","125,400"
New York City,04/26/2021,"95,200","95,200"
Puerto Rico,04/26/2021,"38,500","38,500"
U.S. Virgin Islands,04/26/2021,"1,200","1,200"
Delaware,04/26/2021,"10,700","10,700"
District of Columbia,04/26/2021,"8,100","8,100"
Maryland,04/26/2021,"66,500","66,500"
Pennsylvania,04/26/2021,"126,700","126,700"
Philadelphia,04/26/2021,"17,600","17,600"
Virginia,04/26/2021,"93,300","93,300"
West Virginia,04/26/2021,"20,800","20,800"
Alabama,04/26/2021,"53,700","53,700"
Florida,04/26/2021,"234,500","234,500"
Georgia,04/26/2021,"111,100","111,100"
Kentucky,04/26/2021,"48,900","48,900"
Mississippi,04/26/2021,"32,400","32,400"
North Carolina,04/26/2021,"112,100","112,100"
South Carolina,04/26/2021,"55,000","55,000"
Tennessee,04/26/2021,"73,400","73,400"
Chicago,04/26/2021,"29,900","29,900"
Illinois,04/26/2021,"111,300","111,300"
Indiana,04/26/2021,"72,200","72,200"
Michigan,04/26/2021,"110,600","110,600"
Minnesota,04/26/2021,"60,600","60,600"
Ohio,04/26/2021,"128,600","128,600"
Wisconsin,04/26/2021,"64,400","64,400"
Arkansas,04/26/2021,"32,600","32,600"
Louisiana,04/26/2021,"50,700","50,700"
New Mexico,04/26/2021,"23,100","23,100"
Oklahoma,04/26/2021,"42,200","42,200"
Texas,04/26/2021,"293,500","293,500"
Iowa,04/26/2021,"34,300","34,300"
Kansas,04/26/2021,"31,300","31,300"
Missouri,04/26/2021,"67,100","67,100"
Nebraska,04/26/2021,"20,700","20,700"
Colorado,04/26/2021,"60,900","60,900"
Montana,04/26/2021,"11,700","11,700"
North Dakota,04/26/2021,"8,500","8,500"
South Dakota,04/26/2021,"9,300","9,300"
Utah,04/26/2021,"30,500","30,500"
Wyoming,04/26/2021,"6,400","6,400"
Arizona,04/26/2021,"76,200","76,200"
California,04/26/2021,"428,600","428,600"
Hawaii,04/26/2021,"15,900","15,900"
Nevada,04/26/2021,"32,100","32,100"
American Samoa,04/26/2021,0,0
Guam,04/26/2021,0,0
Marshall Islands,04/26/2021,0,0
Micronesia,04/26/2021,0,0
Mariana Islands,04/26/2021,0,0
Palau,04/26/2021,0,0
Alaska,04/26/2021,0,0
Idaho,04/26/2021,"17,800","17,800"
Oregon,04/26/2021,"46,000","46,000"
Washington,04/26/2021,"81,700","81,700"
Federal Entities,04/26/2021,"161,100","161,100"
Connecticut,04/19/2021,"40,400","40,400"
Maine,04/19/2021,"15,400","15,400"
Massachusetts,04/19/2021,"77,700","77,700"
New Hampshire,04/19/2021,"15,500","15,500"
Rhode Island,04/19/2021,"12,100","12,100"
Vermont,04/19/2021,"7,300","7,300"
New Jersey,04/19/2021,"98,500","98,500"
New York,04/19/2021,"125,400","125,400"
New York City,04/19/2021,"95,200","95,200"
Puerto Rico,04/19/2021,"38,500","38,500"
U.S. Virgin Islands,04/19/2021,"1,200","1,200"
Delaware,04/19/2021,"10,700","10,700"
District of Columbia,04/19/2021,"8,100","8,100"
Maryland,04/19/2021,"66,500","66,500"
Pennsylvania,04/19/2021,"126,700","126,700"
Philadelphia,04/19/2021,"17,600","17,600"
Virginia,04/19/2021,"93,300","93,300"
West Virginia,04/19/2021,"20,800","20,800"
Alabama,04/19/2021,"53,700","53,700"
Florida,04/19/2021,"234,500","234,500"
Georgia,04/19/2021,"111,100","111,100"
Kentucky,04/19/2021,"48,900","48,900"
Mississippi,04/19/2021,"32,400","32,400"
North Carolina,04/19/2021,"112,100","112,100"
South Carolina,04/19/2021,"55,000","55,000"
Tennessee,04/19/2021,"73,400","73,400"
Chicago,04/19/2021,"29,900","29,900"
Illinois,04/19/2021,"111,300","111,300"
Indiana,04/19/2021,"72,200","72,200"
Michigan,04/19/2021,"110,600","110,600"
Minnesota,04/19/2021,"60,600","60,600"
Ohio,04/19/2021,"128,600","128,600"
Wisconsin,04/19/2021,"64,400","64,400"
Arkansas,04/19/2021,"32,600","32,600"
Louisiana,04/19/2021,"50,700","50,700"
New Mexico,04/19/2021,"23,100","23,100"
Oklahoma,04/19/2021,"42,200","42,200"
Texas,04/19/2021,"293,500","293,500"
Iowa,04/19/2021,"34,300","34,300"
Kansas,04/19/2021,"31,300","31,300"
Missouri,04/19/2021,"67,100","67,100"
Nebraska,04/19/2021,"20,700","20,700"
Colorado,04/19/2021,"60,900","60,900"
Montana,04/19/2021,"11,700","11,700"
North Dakota,04/19/2021,"8,500","8,500"
South Dakota,04/19/2021,"9,300","9,300"
Utah,04/19/2021,"30,500","30,500"
Wyoming,04/19/2021,"6,400","6,400"
Arizona,04/19/2021,"76,200","76,200"
California,04/19/2021,"428,600","428,600"
Hawaii,04/19/2021,"15,900","15,900"
Nevada,04/19/2021,"32,100","32,100"
American Samoa,04/19/2021,0,0
Guam,04/19/2021,0,0
Marshall Islands,04/19/2021,0,0
Micronesia,04/19/2021,0,0
Mariana Islands,04/19/2021,0,0
Palau,04/19/2021,0,0
Alaska,04/19/2021,0,0
Idaho,04/19/2021,"17,800","17,800"
Oregon,04/19/2021,"46,000","46,000"
Washington,04/19/2021,"81,700","81,700"
Federal Entities,04/19/2021,"149,400","149,400"
Connecticut,04/12/2021,"37,400","37,400"
